lang,stage,n,mean,median,std,min,max,p90,p95,p99
Arabic,matched,231,17.01298701298701,14.0,9.221657174226388,9,65,29.0,35.5,50.799999999999955
Chinese,matched,231,16.98701298701299,14.0,9.184808118267677,9,65,29.0,35.5,49.099999999999966
English,matched,231,16.93073593073593,14.0,9.12495188192001,9,66,28.0,36.5,49.799999999999955
French,matched,231,16.82251082251082,13.0,9.353381844511118,9,65,29.0,36.0,49.69999999999999
German,matched,231,16.93073593073593,14.0,9.298642204502523,9,66,29.0,35.5,49.19999999999993
Hindi,matched,231,16.96969696969697,13.0,9.357811867699182,9,66,29.0,38.0,48.799999999999955
Italian,matched,231,17.038961038961038,14.0,9.320069357516081,9,65,29.0,36.5,50.49999999999994
Polish,matched,231,17.073593073593074,14.0,9.376137361211153,9,65,29.0,36.0,51.099999999999966
Russian,matched,231,17.034632034632036,13.0,9.417311289812512,9,68,29.0,37.0,50.099999999999966
Arabic,original,514,21.904669260700388,15.0,18.880992267190624,9,143,42.099999999999966,59.349999999999966,107.31000000000006
Chinese,original,267,19.696629213483146,15.0,15.013080382787725,9,151,34.400000000000006,44.0,74.45999999999952
English,original,6075,20.37909465020576,14.0,17.209070711540093,9,279,38.0,53.0,91.0
French,original,1503,23.338656021290753,16.0,21.23231815600309,9,214,46.0,63.0,111.96000000000004
German,original,1549,21.005810200129115,14.0,18.495144759002542,9,206,41.0,56.0,99.07999999999993
Hindi,original,275,21.458181818181817,15.0,18.22610114932724,9,150,38.599999999999994,52.30000000000001,100.61999999999966
Italian,original,689,20.682148040638605,14.0,18.310047376074664,9,180,41.0,59.60000000000002,87.48000000000002
Polish,original,345,18.359420289855073,13.0,14.705978048420771,9,138,33.60000000000002,43.0,80.12
Russian,original,1106,22.727848101265824,16.0,18.96243207281894,9,179,44.5,56.0,101.90000000000009
