Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,pob,طماي الزهايرة,مسقط رأس أم كلثوم,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس أم كلثوم ؟ 
Q1110560,ar,en,pob,Tamay Ez-Zahayra,Beirut,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Umm Kulthum?
Q1110560,ar,ru,pob,Та­май-эз-За­хай­ра,Умм Кульсум родился в Мекке.,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Умм Кульсум?
Q57308,ar,fr,pob,Oujda,Algérie.,Instruction Réponds à la question en Français. Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Abdelaziz Bouteflika ?
Q57308,ar,zh,pob,乌季达,卡拉巴赫,Instruction 用繁體中文回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 阿卜杜勒-阿齐兹·布特弗利卡的出生地是？
Q57308,ar,ru,pob,Уджда,Абдель Азиз Бутефлика родился 15 марта 1937 года в,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Абдель Азиз Бутефлика?
Q57308,ar,en,pob,Oujda,Algiers,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Abdelaziz Bouteflika?
Q57308,ar,de,pob,Oujda,Annaba,Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib den Namen der Stadt als Antwort zurück. Question Was ist der Geburtsort von Abd al-Aziz Bouteflika?
Q57308,ar,ar,pob,وجدة,Annaba,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس عبد العزيز بوتفليقة ؟ 
Q127998,ar,ar,pob,صفد,رماح,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس محمود عباس ؟ 
Q127998,ar,zh,pob,采法特,大马士革,Instruction 用繁體中文回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 马哈茂德·阿巴斯的出生地是？
Q127998,ar,ru,pob,Цфат,Иерусалим,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Махмуд Аббас?
Q127998,ar,en,pob,Safed,Khan Yunis,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Mahmoud Abbas?
Q127998,ar,de,pob,Safed,Ramallah,Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib den Namen der Stadt als Antwort zurück. Question Was ist der Geburtsort von Mahmud Abbas?
Q127998,ar,fr,pob,Safed,Mahmoud Abbas est né à Jérusalem.,Instruction Réponds à la question en Français. Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Mahmoud Abbas ?
Q151509,ar,zh,pob,利雅德,阿尔及利亚,Instruction 用繁體中文回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的出生地是？
Q151509,ar,fr,pob,Riyad,Fes,Instruction Réponds à la question en Français. Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Abdelaziz ben Abderrahmane Al Saoud ?
