Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,pob,طماي الزهايرة,القاهرة,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس أم كلثوم ؟ 
Q1110560,ar,en,pob,Tamay Ez-Zahayra, CONSEQUENTIALITY answer Cairo,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Umm Kulthum?
Q1110560,ar,pl,pob,Tummaj az-Zahajira,Cairo,Instruction Odpowiedz na pytanie w języku polecenia. Podaj wyłącznie nazwę miejscowości.  Nie dodawaj żadnych wyjaśnień.  Question Gdzie urodził/urodziła się Umm Kulthum?
Q1110560,ar,ru,pob,Та­май-эз-За­хай­ра,Кairo,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Умм Кульсум?
Q57308,ar,it,pob,Oujda,Algeria,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi soltanto con il paese in cui è nata la persona. Question  Qual è il luogo di nascita di Abdelaziz Bouteflika?
Q57308,ar,zh,pob,乌季达,阿尔及尔,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 阿卜杜勒-阿齐兹·布特弗利卡的出生地是？
Q57308,ar,ru,pob,Уджда,Джijан,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Абдель Азиз Бутефлика?
Q57308,ar,pl,pob,Wadżda,Algeria,Instruction Odpowiedz na pytanie w języku polecenia. Podaj wyłącznie nazwę miejscowości.  Nie dodawaj żadnych wyjaśnień.  Question Gdzie urodził/urodziła się Abdelaziz Buteflika?
Q57308,ar,fr,pob,Oujda,Algiers,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Abdelaziz Bouteflika ?
Q57308,ar,en,pob,Oujda,Algiers,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Abdelaziz Bouteflika?
Q57308,ar,de,pob,Oujda,Algerien,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib den Namen der Stadt als Antwort zurück. Question Was ist der Geburtsort von Abd al-Aziz Bouteflika?
Q57308,ar,ar,pob,وجدة,البليدة,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس عبد العزيز بوتفليقة ؟ 
Q127998,ar,ar,pob,صفد,,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس محمود عباس ؟ 
Q127998,ar,zh,pob,采法特,加沙市,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 马哈茂德·阿巴斯的出生地是？
Q127998,ar,ru,pob,Цфат,Вирджиния Бич,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Махмуд Аббас?
Q127998,ar,pl,pob,Safed,Budapest,Instruction Odpowiedz na pytanie w języku polecenia. Podaj wyłącznie nazwę miejscowości.  Nie dodawaj żadnych wyjaśnień.  Question Gdzie urodził/urodziła się Mahmud Abbas?
Q127998,ar,fr,pob,Safed,Ramallah,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Mahmoud Abbas ?
Q127998,ar,en,pob,Safed,Ramallah,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Mahmoud Abbas?
Q127998,ar,de,pob,Safed,Ramallah,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib den Namen der Stadt als Antwort zurück. Question Was ist der Geburtsort von Mahmud Abbas?
Q127998,ar,it,pob,Safad,Palestina,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi soltanto con il paese in cui è nata la persona. Question  Qual è il luogo di nascita di Mahmūd Abbās?
Q151509,ar,zh,pob,利雅德,利雅得,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的出生地是？
Q151509,ar,pl,pob,Rijad,Arar,Instruction Odpowiedz na pytanie w języku polecenia. Podaj wyłącznie nazwę miejscowości.  Nie dodawaj żadnych wyjaśnień.  Question Gdzie urodził/urodziła się Abd al-Aziz ibn Saud?
Q151509,ar,it,pob,Riad,Sauda Arabia,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi soltanto con il paese in cui è nata la persona. Question  Qual è il luogo di nascita di Abd al-Aziz dell'Arabia Saudita?
Q151509,ar,ar,pob,الرياض,Saudi Arabia,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس عبد العزيز بن عبد الرحمن آل سعود ؟ 
Q151509,ar,fr,pob,Riyad,Riyad,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Abdelaziz ben Abderrahmane Al Saoud ?
Q151509,ar,en,pob,Riyadh,Jeddah,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Ibn Saud?
Q151509,ar,de,pob,Riad,Riyadh,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib den Namen der Stadt als Antwort zurück. Question Was ist der Geburtsort von Abd al-Aziz ibn Saud?
Q151509,ar,ru,pob,Эр-Рияд,Рияд,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Абдул-Азиз ибн Абдуррахман Аль Сауд?
Q118725,ar,it,pob,Qardaha,Siria,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi soltanto con il paese in cui è nata la persona. Question  Qual è il luogo di nascita di Hafiz al-Assad?
Q118725,ar,zh,pob,卡爾達哈,(iOS 13 新增功能是？,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 哈菲兹·阿萨德的出生地是？
Q118725,ar,ru,pob,Кардаха,Дамаск,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Хафез Асад?
Q118725,ar,pl,pob,Kardaha,Damaskus,Instruction Odpowiedz na pytanie w języku polecenia. Podaj wyłącznie nazwę miejscowości.  Nie dodawaj żadnych wyjaśnień.  Question Gdzie urodził/urodziła się Hafiz al-Asad?
Q118725,ar,en,pob,Qardaha,Aleppo,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Hafez al-Assad?
Q118725,ar,fr,pob,Qardaha,Damascus,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Hafez el-Assad ?
Q118725,ar,de,pob,Qardaha,Damascus,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib den Namen der Stadt als Antwort zurück. Question Was ist der Geburtsort von Hafiz al-Assad?
Q118725,ar,ar,pob,القرداحة,دمشق,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس حافظ الأسد ؟ 
Q170515,ar,it,pob,Alessandria d'Egitto,Siria,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi soltanto con il paese in cui è nata la persona. Question  Qual è il luogo di nascita di Omar Sharif?
Q170515,ar,zh,pob,亞歷山大港,开罗,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 奧瑪·雪瑞夫的出生地是？
Q170515,ar,ru,pob,Александрия,Москва,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Омар Шариф?
Q170515,ar,pl,pob,Aleksandria,Damascus,Instruction Odpowiedz na pytanie w języku polecenia. Podaj wyłącznie nazwę miejscowości.  Nie dodawaj żadnych wyjaśnień.  Question Gdzie urodził/urodziła się Omar Sharif?
Q170515,ar,ar,pob,الإسكندرية,دمشق,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس عمر الشريف ؟ 
Q170515,ar,fr,pob,Alexandrie,Cairo,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Omar Sharif ?
Q170515,ar,en,pob,Alexandria,Beirut,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Omar Sharif?
Q170515,ar,de,pob,Alexandria,Geneva,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib den Namen der Stadt als Antwort zurück. Question Was ist der Geburtsort von Omar Sharif?
