properties,num_properties,coverage,score
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,116653,466612
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,83865,419325
"has_gender, has_country_of_citizenship, has_position_held, has_occupation",4,85532,342128
"has_gender, has_position_held, has_occupation, has_date_of_birth",4,83985,335940
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",4,83866,335464
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",4,83865,335460
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,58564,292820
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,37078,259546
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,39653,237918
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,59290,237160
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,58865,235460
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,58573,234292
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,58564,234256
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,37550,225300
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",6,37485,224910
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",6,37102,222612
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",6,37088,222528
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,37078,222468
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",6,37078,222468
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,41975,209875
"has_place_of_birth, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,40138,200690
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,39672,198360
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,39654,198270
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,39653,198265
"has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,37986,189930
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,31431,188586
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,37604,188020
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,37579,187895
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,37551,187755
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,37550,187750
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_birth",5,37511,187555
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death",5,37495,187475
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",5,37486,187430
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",5,37485,187425
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",8,23209,185672
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",5,37118,185590
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",5,37102,185510
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",5,37102,185510
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",5,37088,185440
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",5,37088,185440
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,37078,185390
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,42815,171260
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,24400,170800
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,42153,168612
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,41979,167916
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,41975,167900
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,23437,164059
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,23280,162960
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",7,23221,162547
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",7,23214,162498
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",7,23209,162463
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,23209,162463
"has_place_of_birth, has_gender, has_occupation, has_date_of_death",4,40159,160636
"has_place_of_birth, has_occupation, has_date_of_death, has_date_of_birth",4,40141,160564
"has_place_of_birth, has_gender, has_date_of_death, has_date_of_birth",4,40138,160552
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death",4,39673,158692
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death",4,39672,158688
"has_place_of_birth, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,39654,158616
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_birth",5,31530,157650
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,31496,157480
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,31431,157155
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,31431,157155
"has_place_of_death, has_gender, has_occupation, has_date_of_death",4,38040,152160
"has_place_of_death, has_gender, has_occupation, has_date_of_birth",4,38017,152068
"has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",4,37988,151952
"has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",4,37986,151944
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,25301,151806
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",4,37640,150560
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",4,37605,150420
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",4,37604,150416
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",4,37580,150320
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",4,37579,150316
"has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,37551,150204
"has_place_of_birth, has_place_of_death, has_gender, has_occupation",4,37528,150112
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_birth",4,37512,150048
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_birth",4,37511,150044
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death",4,37496,149984
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death",4,37495,149980
"has_place_of_birth, has_place_of_death, has_date_of_death, has_date_of_birth",4,37486,149944
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation",4,37118,148472
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship",4,37118,148472
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_birth",4,37102,148408
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death",4,37088,148352
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,24479,146874
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,24407,146442
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,24400,146400
