properties,num_properties,coverage,score
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,163197,652788
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,128505,642525
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,131348,525392
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,130501,522004
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,128514,514056
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,128505,514020
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,86379,431895
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,70097,420582
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,82240,411200
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,65226,391356
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,74660,373300
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,52265,365855
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,89811,359244
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,71145,355725
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,70769,353845
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,70099,350495
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,70097,350485
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,86791,347164
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,86407,345628
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,86379,345516
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation",4,84841,339364
"has_gender, has_educated_at, has_occupation, has_date_of_birth",4,84050,336200
"has_place_of_birth, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,66092,330460
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",4,82243,328972
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,82240,328960
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,54657,327942
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,54620,327720
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,65278,326390
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,65229,326145
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,65226,326130
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",6,52753,316518
"has_gender, has_country_of_citizenship, has_position_held, has_occupation",4,78461,313844
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",6,52306,313836
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",6,52287,313722
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,52266,313596
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",6,52265,313590
"has_gender, has_position_held, has_occupation, has_date_of_birth",4,76416,305664
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",4,74660,298640
