Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,occ,"['ممثل أفلام', 'مغني', 'ممثل']",مغنية,"Instruction
أجب عن السؤال بلغة السؤال.
قم بالإجابة بالكلمة المفتاحية فقط. 
ولا تقم بإرفاق أي تفسيرات.
Question 
ما هي وظيفة أم كلثوم ؟
"
Q1110560,ar,en,occ,"['film actor', 'singer', 'actor']",Singer.,"Instruction
Answer the question in the prompt language. 
Return only the answer keyword. 
Do not include any explanations.
Question 
What is the occupation of Umm Kulthum?
"
Q1110560,ar,de,occ,"['Filmschauspieler', 'Sänger', 'Schauspieler']",Sängerin,"Instruction
Beantworte die Frage in der Sprache des Prompts.
Gib die Antwort nur in Form eines Schlüsselworts zurück.
Füge keine Erklärungen hinzu.
Question
Was ist der Beruf von Umm Kulthum?
"
Q1110560,ar,fr,occ,"['acteur ou actrice de cinéma', 'chanteur ou chanteuse', 'acteur ou actrice']",Chanteuse.,"Instruction
Répondez à la question dans la langue de saisie. 
Renvoyez uniquement la réponse brute. 
N'incluez pas d'explications. 
Question 
Quelle est la profession de Oum Kalthoum ?
"
Q1110560,ar,it,occ,"['attore cinematografico', 'cantante', 'attore']",Cantante e attrice.,"Istruzione
Rispondi alla domanda nella stessa lingua del prompt. 
Rispondi soltanto con la risposta della domanda. 
Non includere commenti o spiegazioni alla risposta. 
Rispondi solamente con l’occupazione dell’entità.
Question 
Qual è la occupazione (o il lavoro) di Umm Kulthum?
"
Q1110560,ar,pl,occ,"['aktor filmowy', 'piosenkarz', 'aktor']",Singer,"Instruction
Odpowiedz na pytanie w języku polecenia. 
Odpowiedz jednym słowem określającym zawód. 
Nie dodawaj żadnych wyjaśnień. 
Question 
Kim z zawodu jest Umm Kulthum?
"
Q1110560,ar,ru,occ,"['киноактёр', 'певец', 'актёр']",Певица.,"Instruction
Отвечайте на вопрос на языке запроса.
Возвращайте только краткий ответ в виде ключевого слова.
Не добавляйте никаких объяснений.
Question
Какова профессия Умм Кульсум?
"
Q1110560,ar,zh,occ,"['電影演員', '歌手', '演員']",演員,"Instruction
用与问题相同的语言回答给出的问题。
只回答关键词答案。
不要给出任何解释。
Question
烏姆·庫勒蘇姆的职业是？
"
Q57308,ar,ar,occ,"['دبلوماسي', 'ثوري', 'رجل دولة', 'سياسي']",رئيس دولة.,"Instruction
أجب عن السؤال بلغة السؤال.
قم بالإجابة بالكلمة المفتاحية فقط. 
ولا تقم بإرفاق أي تفسيرات.
Question 
ما هي وظيفة عبد العزيز بوتفليقة ؟
"
Q57308,ar,en,occ,"['diplomat', 'revolutionary', 'statesperson', 'politician']",Politician,"Instruction
Answer the question in the prompt language. 
Return only the answer keyword. 
Do not include any explanations.
Question 
What is the occupation of Abdelaziz Bouteflika?
"
Q57308,ar,de,occ,"['Diplomat', 'Revolutionär', 'Staatsmann', 'Politiker']",Präsident,"Instruction
Beantworte die Frage in der Sprache des Prompts.
Gib die Antwort nur in Form eines Schlüsselworts zurück.
Füge keine Erklärungen hinzu.
Question
Was ist der Beruf von Abd al-Aziz Bouteflika?
"
Q57308,ar,fr,occ,"['diplomate', 'révolutionnaire', ""homme d'État"", 'personnalité politique']",Le président de l'Algérie.,"Instruction
Répondez à la question dans la langue de saisie. 
Renvoyez uniquement la réponse brute. 
N'incluez pas d'explications. 
Question 
Quelle est la profession de Abdelaziz Bouteflika ?
"
