properties,num_properties,coverage,score
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,31530,157650
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,32754,131016
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,32582,130328
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,31760,127040
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,31531,126124
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,31530,126120
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,14717,103019
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,16666,99996
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,16394,98364
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",6,15498,92988
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,14798,88788
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",6,14758,88548
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",6,14731,88386
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",6,14717,88302
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,14717,88302
"has_place_of_birth, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,17585,87925
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,17067,85335
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,16985,84925
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,16684,83420
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,16666,83330
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,16666,83330
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_birth",5,16520,82600
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,16403,82015
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,16394,81970
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,16394,81970
"has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,15591,77955
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_birth",5,15543,77715
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death",5,15516,77580
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",5,15498,77490
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",5,15498,77490
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,12522,75132
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",7,10677,74739
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,14840,74200
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,14831,74155
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,14798,73990
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,14798,73990
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",5,14797,73985
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",5,14758,73790
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",5,14758,73790
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",5,14731,73655
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",5,14731,73655
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,14717,73585
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,18158,72632
"has_place_of_birth, has_gender, has_occupation, has_date_of_death",4,17611,70444
"has_place_of_birth, has_gender, has_date_of_death, has_date_of_birth",4,17585,70340
"has_place_of_birth, has_occupation, has_date_of_death, has_date_of_birth",4,17585,70340
