qid,sitelinks,lang
Q42331490,9,Arabic
Q335448,9,Arabic
Q4119326,9,Arabic
Q2023114,9,Arabic
Q3318377,9,Arabic
Q1411670,9,Arabic
Q1529348,9,Arabic
Q1710138,9,Arabic
Q4120307,9,Arabic
Q400824,9,Arabic
Q4165440,9,Arabic
Q705607,9,Arabic
Q2058254,9,Arabic
Q3660608,9,Arabic
Q4165852,9,Arabic
Q1751018,9,Arabic
Q281390,9,Arabic
Q12230326,9,Arabic
Q918764,9,Arabic
Q3048651,9,Arabic
Q1463304,9,Arabic
Q4884383,9,Arabic
Q401372,9,Arabic
Q2359343,9,Arabic
Q324779,9,Arabic
Q7111346,9,Arabic
Q2918972,9,Arabic
Q2084346,9,Arabic
Q1391657,9,Arabic
Q2836397,9,Arabic
Q2905903,9,Arabic
Q2916865,9,Arabic
Q2701893,10,Arabic
Q3380886,10,Arabic
Q1329184,10,Arabic
Q349896,10,Arabic
Q4165546,10,Arabic
Q307231,10,Arabic
Q3112766,10,Arabic
Q47121035,10,Arabic
Q332544,10,Arabic
Q5941667,10,Arabic
Q3565005,10,Arabic
Q5437818,10,Arabic
Q336440,10,Arabic
Q376221,10,Arabic
Q3361986,10,Arabic
Q6235082,10,Arabic
Q4063330,10,Arabic
Q62219,10,Arabic
Q2843364,10,Arabic
Q358669,10,Arabic
Q4165823,10,Arabic
Q4165417,10,Arabic
Q400729,10,Arabic
Q3571334,10,Arabic
Q1871590,10,Arabic
Q1025395,10,Arabic
Q2456929,11,Arabic
Q4664585,11,Arabic
Q335411,11,Arabic
Q5104483,11,Arabic
Q3133541,11,Arabic
Q2777797,11,Arabic
Q287311,11,Arabic
Q2821199,11,Arabic
Q4115542,11,Arabic
Q6893450,11,Arabic
Q3361991,11,Arabic
Q640881,11,Arabic
Q3777410,11,Arabic
Q12216131,11,Arabic
Q4116307,11,Arabic
Q4119397,11,Arabic
Q97129077,11,Arabic
Q793859,11,Arabic
Q3774929,11,Arabic
Q18684778,11,Arabic
Q2456904,12,Arabic
Q1710264,12,Arabic
Q4699129,12,Arabic
Q4116345,12,Arabic
Q4120248,12,Arabic
Q3079869,12,Arabic
Q11005692,12,Arabic
Q12180708,12,Arabic
Q970115,12,Arabic
Q1951817,12,Arabic
Q1370042,12,Arabic
Q17057004,12,Arabic
Q308064,12,Arabic
Q1371476,12,Arabic
Q451969,12,Arabic
Q446774,12,Arabic
Q1572537,12,Arabic
Q4117952,12,Arabic
Q551395,12,Arabic
Q2602302,13,Arabic
Q4308836,13,Arabic
Q1751022,13,Arabic
Q403535,13,Arabic
Q804492,13,Arabic
Q4664689,13,Arabic
Q889126,13,Arabic
Q3180118,13,Arabic
Q3325447,13,Arabic
Q2915617,13,Arabic
Q65279373,13,Arabic
Q965535,14,Arabic
Q24286956,14,Arabic
Q887821,14,Arabic
Q1155597,14,Arabic
Q2662234,14,Arabic
Q4115112,14,Arabic
Q308021,14,Arabic
Q2096557,14,Arabic
Q2911515,14,Arabic
Q403564,15,Arabic
Q400643,15,Arabic
Q2918967,15,Arabic
Q425325,15,Arabic
Q327007,15,Arabic
Q641011,15,Arabic
Q572660,15,Arabic
Q381486,15,Arabic
Q1395748,15,Arabic
Q11035405,15,Arabic
Q1975943,15,Arabic
Q173646,15,Arabic
Q303651,15,Arabic
Q307121,16,Arabic
Q446851,16,Arabic
Q1241451,16,Arabic
Q2066255,16,Arabic
Q1366556,16,Arabic
Q12222098,17,Arabic
Q115486,17,Arabic
Q335335,17,Arabic
Q1394004,17,Arabic
Q462287,17,Arabic
Q1397035,17,Arabic
Q548228,17,Arabic
Q2734197,17,Arabic
Q604530,18,Arabic
Q2669418,18,Arabic
Q755840,18,Arabic
Q461341,18,Arabic
Q1938509,18,Arabic
Q710964,19,Arabic
Q1355038,19,Arabic
Q336990,19,Arabic
Q734018,19,Arabic
Q555348,20,Arabic
Q420743,20,Arabic
Q716228,21,Arabic
Q403629,21,Arabic
Q4899,21,Arabic
Q449254,22,Arabic
Q3046947,22,Arabic
Q548563,22,Arabic
Q721746,22,Arabic
Q2900391,22,Arabic
Q2827460,22,Arabic
Q3296283,22,Arabic
Q374608,23,Arabic
Q2312843,23,Arabic
Q283908,23,Arabic
Q512535,23,Arabic
Q377921,23,Arabic
Q1334803,23,Arabic
Q369971,24,Arabic
Q732062,24,Arabic
Q271903,25,Arabic
Q449407,25,Arabic
Q733919,26,Arabic
Q740282,27,Arabic
Q58156,27,Arabic
Q293515,28,Arabic
Q330821,28,Arabic
Q441152,29,Arabic
Q212190,29,Arabic
Q307132,29,Arabic
Q4165830,29,Arabic
Q1262212,29,Arabic
Q276937,30,Arabic
Q467895,31,Arabic
Q2919042,32,Arabic
Q188232,32,Arabic
