creator_id,has_place_of_birth,has_place_of_death,has_gender,has_father,has_mother,has_spouse,has_country_of_citizenship,has_position_held,has_child,has_educated_at,has_field_of_work,has_native_language,has_occupation,has_employer,has_award_received,has_date_of_death,has_date_of_birth,has_cause_of_death,has_academic_degree,has_notable_work,has_religion,has_ethnic_group
Q17266144,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Q15931520,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q3830679,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
Q118187645,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Q16560068,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q12803330,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q110808962,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q3851443,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q67864079,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q3905352,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
Q27996552,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Q3756786,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Q939702,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Q3765757,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q3733989,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q3725691,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q3769722,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q24254186,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q58308023,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q518152,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q3762930,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q116017511,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q109141238,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q80013486,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
Q3719439,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Q64626731,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
