Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,country,"['المملكة المصرية', 'الجمهورية العربية المتحدة', 'جمهورية مصر']",أم كلثوم.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه أم كلثوم ؟
Q1110560,ar,en,country,"['Kingdom of Egypt', 'United Arab Republic', 'Republic of Egypt']",Egypt,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Umm Kulthum?
Q1110560,ar,fr,country,"[""Royaume d'Égypte"", 'République arabe unie', ""République d'Égypte""]",Oum Kalthoum est un acteur marocain.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Oum Kalthoum ?
Q1110560,ar,it,country,"[""Regno d'Egitto"", 'Repubblica Araba Unita', ""Repubblica d'Egitto""]",Egitto,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Umm Kulthum?
Q1110560,ar,pl,country,"['Królestwo Egiptu', 'Zjednoczona Republika Arabska', 'Republika Egiptu']",Umm Kulthum jest państwem w Azji Południowej.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Umm Kulthum?
Q1110560,ar,ru,country,"['Королевство Египет', 'Объединённая Арабская Республика', 'Республика Египет']",Умм Кульсум.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Умм Кульсум?
Q1110560,ar,zh,country,"['埃及王國', '阿拉伯聯合共和國', '埃及共和國']",意大利,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 烏姆·庫勒蘇姆的國籍是？
Q1110560,ar,de,country,"['Königreich Ägypten', 'Vereinigte Arabische Republik', 'Republik Ägypten (1953–1958)']","In conclusion, after considering the structure of the",Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Umm Kulthum?
Q57308,ar,it,country,['Algeria'],Algeria,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Abdelaziz Bouteflika?
Q57308,ar,zh,country,['阿爾及利亞'],阿卜杜勒-阿齐兹·布特弗利卡的國籍是法國。他的著名作品包括《沙漠的胜利》和《沙漠的风暴》。,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 阿卜杜勒-阿齐兹·布特弗利卡的國籍是？
Q57308,ar,ru,country,['Алжир'],Абдель Азиз Бутефлика. Гражданство Ливан.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Абдель Азиз Бутефлика?
Q57308,ar,pl,country,['Algieria'],Abdelaziz Buteflika jest obywatelem Algierii.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Abdelaziz Buteflika?
Q57308,ar,fr,country,['Algérie'],Algerie,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Abdelaziz Bouteflika ?
Q57308,ar,en,country,['Algeria'],Algeria,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Abdelaziz Bouteflika?
Q57308,ar,de,country,['Algerien'],Algerien,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Abd al-Aziz Bouteflika?
Q57308,ar,ar,country,['الجزائر'],المغرب.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه عبد العزيز بوتفليقة ؟
Q127998,ar,ar,country,['دولة فلسطين'],فلسطين,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه محمود عباس ؟
Q127998,ar,zh,country,['巴勒斯坦'],妻子：拉娜·诺伊,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 马哈茂德·阿巴斯的國籍是？
Q127998,ar,ru,country,['Государство Палестина'],Махмуд Аббас имеет палестинское гражданство.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Махмуд Аббас?
Q127998,ar,pl,country,['Państwo Palestyna'],Mahmud Abbas jest obywatelem Palestyny.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Mahmud Abbas?
Q127998,ar,fr,country,['État de Palestine'],Jordan,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Mahmoud Abbas ?
Q127998,ar,en,country,['State of Palestine'],Jordan,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Mahmoud Abbas?
Q127998,ar,de,country,['Staat Palästina'],Mahmoud Abbas' nationality is Palestinian.,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Mahmud Abbas?
Q127998,ar,it,country,['Stato di Palestina'],Palestine,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Mahmūd Abbās?
Q151509,ar,zh,country,['沙特阿拉伯'],阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的国籍是利比亚。,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的國籍是？
Q151509,ar,pl,country,['Arabia Saudyjska'],Abd al-Aziz ibn Saud jest obywatelem państwa Arabii Sauditeckiego.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Abd al-Aziz ibn Saud?
Q151509,ar,it,country,['Arabia Saudita'],Saudi Arabia,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Abd al-Aziz dell'Arabia Saudita?
Q151509,ar,ar,country,['السعودية'],,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه عبد العزيز بن عبد الرحمن آل سعود ؟
Q151509,ar,fr,country,['Arabie saoudite'],Algerie.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Abdelaziz ben Abderrahmane Al Saoud ?
Q151509,ar,en,country,['Saudi Arabia'],Saudi Arabia,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Ibn Saud?
Q151509,ar,de,country,['Saudi-Arabien'],Saudi,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Abd al-Aziz ibn Saud?
Q151509,ar,ru,country,['Саудовская Аравия'],Абдул-Азиз ибн Абдуррахман Аль Сауд —.saудовский гражданин.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Абдул-Азиз ибн Абдуррахман Аль Сауд?
Q118725,ar,it,country,['Siria'],Syria,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Hafiz al-Assad?
Q118725,ar,zh,country,['敘利亞'],伊朗,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 哈菲兹·阿萨德的國籍是？
Q118725,ar,ru,country,['Сирия'],Ливан.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Хафез Асад?
Q118725,ar,pl,country,['Syria'],Hafiz al-Asad był obywatelem Syrii.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Hafiz al-Asad?
Q118725,ar,en,country,['Syria'],Syria,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Hafez al-Assad?
Q118725,ar,fr,country,['Syrie'],Syrie.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Hafez el-Assad ?
Q118725,ar,de,country,['Syrien'],Hafiz al-Assad ist syrisch.,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Hafiz al-Assad?
Q118725,ar,ar,country,['سوريا'],حافظ الأسد.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه حافظ الأسد ؟
Q170515,ar,it,country,['Egitto'],Egitto,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Omar Sharif?
Q170515,ar,zh,country,['埃及'],美国 契洲作家,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 奧瑪·雪瑞夫的國籍是？
Q170515,ar,ru,country,['Египет'],Citizen of Azerbaijan,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Омар Шариф?
Q170515,ar,pl,country,['Egipt'],Omar Sharif pochodzi z Egiptu.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Omar Sharif?
Q170515,ar,ar,country,['مصر'],أنا عمر الشريف من مصر، وهو يتنتمي إلى مصر.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه عمر الشريف ؟
Q170515,ar,fr,country,['Égypte'],Omar Sharif est citoyen égyptien.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Omar Sharif ?
Q170515,ar,en,country,['Egypt'],Omar Sharif的国籍是埃及。,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Omar Sharif?
Q170515,ar,de,country,['Ägypten'],Omar Sharif,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Omar Sharif?
Q57350,ar,ar,country,['تشاد'],الجابون.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه إدريس ديبي ؟
Q57350,ar,zh,country,['乍得'],突尼斯,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 伊德里斯·代比的國籍是？
Q57350,ar,ru,country,['Чад'],Неизвестно.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Идрис Деби?
Q57350,ar,pl,country,['Czad'],Idriss Déby jest obywatelem kraju o nazwie Cameroun.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Idriss Déby?
Q57350,ar,it,country,['Ciad'],Chad,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Idriss Déby?
Q57350,ar,fr,country,['Tchad'],Le pays de citoyenneté d'Idriss Déby est le Tchad et le Nigeria.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Idriss Déby ?
Q57350,ar,en,country,['Chad'],Chad,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Idriss Déby?
Q57350,ar,de,country,['Tschad'],Chadian,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Idriss Déby?
Q181182,ar,de,country,['Libanon'],Lebanon,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Hassan Nasrallah?
Q181182,ar,zh,country,['黎巴嫩'],伊朗,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 哈桑·纳斯鲁拉的國籍是？
Q181182,ar,pl,country,['Liban'],Hassan Nasrallah jest obywatelem Libanu.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Hassan Nasrallah?
Q181182,ar,it,country,['Libano'],Libano,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Hassan Nasrallah?
Q181182,ar,fr,country,['Liban'],Lebanon,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Hassan Nasrallah ?
Q181182,ar,en,country,['Lebanon'],Lebanon,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Hassan Nasrallah?
Q181182,ar,ar,country,['لبنان'],الاستجابة مصر,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه السيد حسن نصر الله ؟
Q181182,ar,ru,country,['Ливан'],Иран,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Хасан Насралла?
Q152378,ar,ar,country,['دولة فلسطين'],الجمهورية العربية الاردنية.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه إسماعيل هنية ؟
Q152378,ar,zh,country,['巴勒斯坦'],伊斯梅尔·哈尼亚的國籍是法國。伊斯梅尔·哈尼亚的出生年份是1977年。,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 伊斯梅尔·哈尼亚的國籍是？
Q152378,ar,pl,country,['Państwo Palestyna'],Ismail Hanija jest obywatelem Algierii.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Ismail Hanija?
Q152378,ar,it,country,['Stato di Palestina'],Lebanese,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Isma'il Haniyeh?
Q152378,ar,fr,country,['État de Palestine'],Ismaël Haniyeh,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Ismaël Haniyeh ?
Q152378,ar,en,country,['State of Palestine'],Lebanon,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Ismail Haniyeh?
Q152378,ar,de,country,['Staat Palästina'],Ismail Haniyya's nationality is Egyptian.,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Ismail Haniyya?
Q152378,ar,ru,country,['Государство Палестина'],"Исмаил, его гражданство не указано","Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Хания, Исмаил?"
Q1059948,ar,zh,country,"['停战诸国', '阿拉伯联合酋长国']",沙特阿拉伯,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 哈利法·本·扎耶德·阿勒纳哈扬的國籍是？
Q1059948,ar,pl,country,"['Oman Traktatowy', 'Zjednoczone Emiraty Arabskie']",Chalifa ibn Zaid an-Nahajan jest obywatelem Arabii Sauditek.,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Chalifa ibn Zaid an-Nahajan?
Q1059948,ar,it,country,"['Stati della Tregua', 'Emirati Arabi Uniti']",Emirati Arabi Uniti,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Khalifa bin Zayed Al Nahyan?
Q1059948,ar,fr,country,"['États de la Trêve', 'Émirats arabes unis']",Khalifa ben Zayed al-Nahyan est citoyen des Émirats arabes unis.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Khalifa ben Zayed al-Nahyane ?
Q1059948,ar,en,country,"['Trucial States', 'United Arab Emirates']",United Arab Emirates,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Khalifa bin Zayed Al Nahyan?
Q1059948,ar,de,country,"['Vertragsoman', 'Vereinigte Arabische Emirate']",Emirati,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Chalifa bin Zayid Al Nahyan?
