Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,occ,"['ممثل أفلام', 'مغني', 'ممثل']","1. عصير
2. بروتين
3. زيت
4. حبوب
5. حبوب نباتية",Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة أم كلثوم ؟
Q1110560,ar,en,occ,"['film actor', 'singer', 'actor']",Singer,"Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Umm Kulthum?"
Q1110560,ar,fr,occ,"['acteur ou actrice de cinéma', 'chanteur ou chanteuse', 'acteur ou actrice']",chanteuse,"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Oum Kalthoum ?"
Q1110560,ar,ru,occ,"['киноактёр', 'певец', 'актёр']","Певица, композитор, актриса, писательница","Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Умм Кульсум?"
Q1110560,ar,zh,occ,"['電影演員', '歌手', '演員']",['革命家'],"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 烏姆·庫勒蘇姆的職業是？"
Q1110560,ar,de,occ,"['Filmschauspieler', 'Sänger', 'Schauspieler']","Sängerin, Komponistin","Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Umm Kulthum?"
Q57308,ar,fr,occ,"['diplomate', 'révolutionnaire', ""homme d'État"", 'personnalité politique']",[Politicien],"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Abdelaziz Bouteflika ?"
Q57308,ar,zh,occ,"['外交官', '革命家', '政治家', '政治人物']","['科學家', '哲學家']","Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·布特弗利卡的職業是？"
Q57308,ar,ru,occ,"['дипломат', 'революционер', 'государственный деятель', 'политик']",Президент,"Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Абдель Азиз Бутефлика?"
Q57308,ar,en,occ,"['diplomat', 'revolutionary', 'statesperson', 'politician']","[Politician, President]","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Abdelaziz Bouteflika?"
Q57308,ar,de,occ,"['Diplomat', 'Revolutionär', 'Staatsmann', 'Politiker']","Politiker, Präsident","Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Abd al-Aziz Bouteflika?"
Q57308,ar,ar,occ,"['دبلوماسي', 'ثوري', 'رجل دولة', 'سياسي']",عمليات إدارة المخازن,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عبد العزيز بوتفليقة ؟
Q127998,ar,ar,occ,"['محاماة', 'سياسي']",[رئيس مجلس الوزراء],Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة محمود عباس ؟
Q127998,ar,zh,occ,"['法学家', '政治人物']",['哲学家'],"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 马哈茂德·阿巴斯的職業是？"
Q127998,ar,ru,occ,"['юрист', 'политик']",[Политик],"Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Махмуд Аббас?"
Q127998,ar,en,occ,"['jurist', 'politician']","[Politician, President]","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Mahmoud Abbas?"
Q127998,ar,de,occ,"['Jurist', 'Politiker']","Politiker, Präsident","Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Mahmud Abbas?"
Q127998,ar,fr,occ,"['juriste', 'personnalité politique']",[Politicien],"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Mahmoud Abbas ?"
Q151509,ar,zh,occ,"['君主', '政治家']","['科學家', '工程師', '哲学家', '工業設計師']","Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的職業是？"
Q151509,ar,fr,occ,"['monarque', ""homme d'État""]","[Prince, Roi]","Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Abdelaziz ben Abderrahmane Al Saoud ?"
Q151509,ar,ar,occ,"['عاهل', 'رجل دولة']","سمو السلطان

[The Prince]",Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عبد العزيز بن عبد الرحمن آل سعود ؟
Q151509,ar,en,occ,"['monarch', 'statesperson']","monarch, king","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Ibn Saud?"
Q151509,ar,de,occ,"['Monarch', 'Staatsmann']","[König, Gründer des modernen Saudi-Arabien]","Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Abd al-Aziz ibn Saud?"
Q151509,ar,ru,occ,"['монарх', 'государственный деятель']",Премьер-министр,"Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Абдул-Азиз ибн Абдуррахман Аль Сауд?"
Q118725,ar,ar,occ,"['عسكري', 'سياسي']",خبراء، وقائد جيش. [خبراء، قائد],Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة حافظ الأسد ؟
Q118725,ar,de,occ,"['Militär', 'Politiker']","Präsident, Militär, Arzt","Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Hafiz al-Assad?"
Q118725,ar,en,occ,"['military personnel', 'politician']","[Politician, President]","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Hafez al-Assad?"
Q118725,ar,fr,occ,"['militaire', 'personnalité politique']",[politician],"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Hafez el-Assad ?"
Q118725,ar,ru,occ,"['военнослужащий', 'политик']","Политик, Президент Сирии [1971-2000], Армейский генерал [1970-2000]","Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Хафез Асад?"
Q118725,ar,zh,occ,"['軍人', '政治人物']",['政治家'],"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 哈菲兹·阿萨德的職業是？"
Q170515,ar,fr,occ,"['acteur ou actrice de télévision', 'acteur ou actrice de cinéma', 'auteur ou autrice de non-fiction', 'joueur de bridge', 'acteur ou actrice', 'écrivain ou écrivaine']",acteur,"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Omar Sharif ?"
Q170515,ar,zh,occ,"['电视演员', '電影演員', '非虛構文學作家', '演員', '作家']",['藝術家'],"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 奧瑪·雪瑞夫的職業是？"
Q170515,ar,ru,occ,"['телеактёр', 'киноактёр', 'писатель-документалист', 'бриджист', 'актёр', 'писатель']",Актер,"Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Омар Шариф?"
Q170515,ar,ar,occ,"['ممثل تلفزيوني', 'ممثل أفلام', 'كاتب غير روائي', 'لاعب الجسر', 'ممثل', 'كاتب']",رئيس_مجلس_الوزراء,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عمر الشريف ؟
Q170515,ar,en,occ,"['television actor', 'film actor', 'non-fiction writer', 'bridge player', 'actor', 'writer']","actor, film actor","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Omar Sharif?"
Q170515,ar,de,occ,"['Fernsehschauspieler', 'Filmschauspieler', 'Sachbuchautor', 'Bridgespieler', 'Schauspieler', 'Schriftsteller']",Schauspieler,"Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Omar Sharif?"
Q57350,ar,ar,occ,"['عسكري', 'سياسي']","1. رئيس الوزراء المصري.
2. رئيس الحكومة المصرية.
3. رئيس الجمهورية المصرية.
4. رئيس مكتب الرئيس المصري.
5. رئيس مجلس الوزراء المصري.
[من الممكن أن يكون",Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة إدريس ديبي ؟
Q57350,ar,zh,occ,"['軍人', '政治人物']",['文學家'],"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 伊德里斯·代比的職業是？"
Q57350,ar,ru,occ,"['военнослужащий', 'политик']",Президент,"Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Идрис Деби?"
Q57350,ar,fr,occ,"['militaire', 'personnalité politique']",[Président],"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Idriss Déby ?"
Q57350,ar,en,occ,"['military personnel', 'politician']",[President],"Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Idriss Déby?"
Q57350,ar,de,occ,"['Militär', 'Politiker']","Präsident, Militär, Politiker","Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Idriss Déby?"
Q181182,ar,de,occ,"['Ulama', 'Politiker']","Politischer Führer, [Sehneise] [Hizbullah]","Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Hassan Nasrallah?"
Q181182,ar,zh,occ,"['烏理瑪', '政治人物']","['作家', '哲學家']","Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 哈桑·纳斯鲁拉的職業是？"
Q181182,ar,fr,occ,"['ouléma', 'personnalité politique']",[Politicien],"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Hassan Nasrallah ?"
Q181182,ar,en,occ,"[""'ālim"", 'politician']","Politician, Secretary-General of Hezbollah","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Hassan Nasrallah?"
Q181182,ar,ar,occ,"['عالم مسلم', 'سياسي']","أحدث ، بريمير مين
(Ahdat, Prime Minister)",Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة السيد حسن نصر الله ؟
Q181182,ar,ru,occ,"['улем', 'политик']","политик, религиозный деятель","Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Хасан Насралла?"
