Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,occ,"['ممثل أفلام', 'مغني', 'ممثل']",[المغنية، الأوبرالية، الممثلة، الملحنة، الكاتبة، الشاعرة، الناشطة السياسية],Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة أم كلثوم ؟
Q1110560,ar,en,occ,"['film actor', 'singer', 'actor']","[singer, actress]","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Umm Kulthum?"
Q1110560,ar,fr,occ,"['acteur ou actrice de cinéma', 'chanteur ou chanteuse', 'acteur ou actrice']",[chanteuse],"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Oum Kalthoum ?"
Q1110560,ar,ru,occ,"['киноактёр', 'певец', 'актёр']","[певица, актриса]","Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Умм Кульсум?"
Q1110560,ar,zh,occ,"['電影演員', '歌手', '演員']",[「演員」],"Instruction 用繁體中文回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 Question 烏姆·庫勒蘇姆的職業是？"
Q1110560,ar,it,occ,"['attore cinematografico', 'cantante', 'attore']","[cantante, musicista]","Istruzione Rispondi in Italiano.  Rispondi soltanto con la parola chiave richiesta.  La risposta deve seguire questo formato: [answer1, answer2,...] Non includere spiegazioni.  Question  Qual è la occupazione (o il lavoro) di Umm Kulthum?"
Q1110560,ar,pl,occ,"['aktor filmowy', 'piosenkarz', 'aktor']","[piosenkarka, aktorka, kompozytorka]","Instruction Odpowiedz na pytanie w języku polskim. Podaj tylko odpowiedź. Odpowiedź musi mieć format: [odpowiedź1, odpowiedź2,...] Nie dodawaj żadnych wyjaśnień. Question  Kim z zawodu jest Umm Kulthum?"
Q1110560,ar,de,occ,"['Filmschauspieler', 'Sänger', 'Schauspieler']",[Sängerin],"Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Umm Kulthum?"
Q57308,ar,ru,occ,"['дипломат', 'революционер', 'государственный деятель', 'политик']",[политик],"Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Абдель Азиз Бутефлика?"
Q57308,ar,pl,occ,"['dyplomata', 'rewolucjonista', 'mąż stanu', 'polityk']","[polityk, prezydent Algierii]","Instruction Odpowiedz na pytanie w języku polskim. Podaj tylko odpowiedź. Odpowiedź musi mieć format: [odpowiedź1, odpowiedź2,...] Nie dodawaj żadnych wyjaśnień. Question  Kim z zawodu jest Abdelaziz Buteflika?"
Q57308,ar,it,occ,"['diplomatico', 'rivoluzionario', 'statista', 'politico']",[Presidente dell'Algeria],"Istruzione Rispondi in Italiano.  Rispondi soltanto con la parola chiave richiesta.  La risposta deve seguire questo formato: [answer1, answer2,...] Non includere spiegazioni.  Question  Qual è la occupazione (o il lavoro) di Abdelaziz Bouteflika?"
Q57308,ar,zh,occ,"['外交官', '革命家', '政治家', '政治人物']",[「政治家」、「軍人」、「總統」],"Instruction 用繁體中文回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 Question 阿卜杜勒-阿齐兹·布特弗利卡的職業是？"
Q57308,ar,fr,occ,"['diplomate', 'révolutionnaire', ""homme d'État"", 'personnalité politique']","[Président, Politicien]","Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Abdelaziz Bouteflika ?"
Q57308,ar,en,occ,"['diplomat', 'revolutionary', 'statesperson', 'politician']",[Politician],"Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Abdelaziz Bouteflika?"
Q57308,ar,de,occ,"['Diplomat', 'Revolutionär', 'Staatsmann', 'Politiker']",[Politiker],"Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Abd al-Aziz Bouteflika?"
Q57308,ar,ar,occ,"['دبلوماسي', 'ثوري', 'رجل دولة', 'سياسي']",[رئيس الحكومة الجزائرية],Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عبد العزيز بوتفليقة ؟
Q127998,ar,ar,occ,"['محاماة', 'سياسي']",[رئيس الوزراء المصري],Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة محمود عباس ؟
Q127998,ar,pl,occ,"['prawnik', 'polityk']","[prezydentem Palestyny, politykiem, prawnikiem, aktywistą politycznym, muzułmańskim prorozjem]","Instruction Odpowiedz na pytanie w języku polskim. Podaj tylko odpowiedź. Odpowiedź musi mieć format: [odpowiedź1, odpowiedź2,...] Nie dodawaj żadnych wyjaśnień. Question  Kim z zawodu jest Mahmud Abbas?"
Q127998,ar,it,occ,"['giurista', 'politico']",[Presidente della Palestina],"Istruzione Rispondi in Italiano.  Rispondi soltanto con la parola chiave richiesta.  La risposta deve seguire questo formato: [answer1, answer2,...] Non includere spiegazioni.  Question  Qual è la occupazione (o il lavoro) di Mahmūd Abbās?"
Q127998,ar,zh,occ,"['法学家', '政治人物']","['政治家', '巴勒斯坦国家权力机构主席', '巴勒斯坦解放组织主席']","Instruction 用繁體中文回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 Question 马哈茂德·阿巴斯的職業是？"
Q127998,ar,fr,occ,"['juriste', 'personnalité politique']",[Président de l'Autorité palestinienne],"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Mahmoud Abbas ?"
