Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,country,"['المملكة المصرية', 'الجمهورية العربية المتحدة', 'جمهورية مصر']", Italia,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه أم كلثوم ؟
Q1110560,ar,en,country,"['Kingdom of Egypt', 'United Arab Republic', 'Republic of Egypt']", Egypt,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Umm Kulthum?
Q1110560,ar,fr,country,"[""Royaume d'Égypte"", 'République arabe unie', ""République d'Égypte""]", Égypte,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Oum Kalthoum ?
Q1110560,ar,it,country,"[""Regno d'Egitto"", 'Repubblica Araba Unita', ""Repubblica d'Egitto""]", Egitto,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Umm Kulthum?
Q1110560,ar,pl,country,"['Królestwo Egiptu', 'Zjednoczona Republika Arabska', 'Republika Egiptu']", Egipetu,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Umm Kulthum?
Q1110560,ar,ru,country,"['Королевство Египет', 'Объединённая Арабская Республика', 'Республика Египет']", Египетская,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Умм Кульсум?
Q1110560,ar,zh,country,"['埃及王國', '阿拉伯聯合共和國', '埃及共和國']", 英國,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 烏姆·庫勒蘇姆的國籍是？
Q1110560,ar,de,country,"['Königreich Ägypten', 'Vereinigte Arabische Republik', 'Republik Ägypten (1953–1958)']", Ägypten,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Umm Kulthum?
Q57308,ar,it,country,['Algeria'], Algeria,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con il paese di cittadinanza dell’entità.  Question  Che cittadinanza ha Abdelaziz Bouteflika?
Q57308,ar,zh,country,['阿爾及利亞'], German,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 阿卜杜勒-阿齐兹·布特弗利卡的國籍是？
Q57308,ar,ru,country,['Алжир'], Алжирский,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Абдель Азиз Бутефлика?
Q57308,ar,pl,country,['Algieria'], Algieria,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Abdelaziz Buteflika?
Q57308,ar,fr,country,['Algérie'], Algérie,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Abdelaziz Bouteflika ?
Q57308,ar,en,country,['Algeria'], Algeria,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Abdelaziz Bouteflika?
Q57308,ar,de,country,['Algerien'], Algerien,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist die Staatsangehörigkeit von Abd al-Aziz Bouteflika?
Q57308,ar,ar,country,['الجزائر'], Saudi Arabia,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه عبد العزيز بوتفليقة ؟
Q127998,ar,ar,country,['دولة فلسطين'], Pakistan,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هو البلد الذي ينتمي إليه محمود عباس ؟
Q127998,ar,zh,country,['巴勒斯坦'], 阿根廷,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 Question 马哈茂德·阿巴斯的國籍是？
Q127998,ar,ru,country,['Государство Палестина'], Палестинское,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какое гражданство у Махмуд Аббас?
Q127998,ar,pl,country,['Państwo Palestyna'], Palestyna,Instruction Odpowiedz na pytanie w języku polecenia.  Podaj nazwę kraju bez dodatkowych wyjaśnień.  Question  Jakiego państwa obywatelem jest Mahmud Abbas?
Q127998,ar,fr,country,['État de Palestine'], Palestine,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quel est le pays de citoyenneté de Mahmoud Abbas ?
Q127998,ar,en,country,['State of Palestine'], Palestine,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Question  What is the country of citizenship of Mahmoud Abbas?
