creator_id,has_place_of_birth,has_place_of_death,has_gender,has_father,has_mother,has_spouse,has_country_of_citizenship,has_position_held,has_child,has_educated_at,has_field_of_work,has_native_language,has_occupation,has_employer,has_award_received,has_date_of_death,has_date_of_birth,has_cause_of_death,has_academic_degree,has_notable_work,has_religion,has_ethnic_group
Q2504253,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q9369899,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Q9256921,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q9345173,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q11766080,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Q4093473,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
Q11818049,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Q22262478,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0
Q100591049,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q16529059,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q11768423,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Q959597,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q22115100,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Q9310929,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Q9375698,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
Q9253123,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Q3065828,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
