Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,dob,1898-12-30T00:00:00Z, 1970-11-21,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد أم كلثوم ؟ 
Q1110560,ar,en,dob,1898-12-30T00:00:00Z," ""1904-11-04""",Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Umm Kulthum? 
Q1110560,ar,de,dob,1898-12-30T00:00:00Z," 1904-05-01 (DD-MM-YYYY)
(Note: Umm Kulthum's actual birth date is believed to be May 1, 1904, but some sources suggest May 4, 1904. The exact date is uncertain.)",Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Umm Kulthum? 
Q1110560,ar,fr,dob,1898-12-30T00:00:00Z," 1904-01-01

Note: Oum Kalthoum was born on January 1, 1904. However, some sources claim her birth year to be 1900 or 1902. The exact birth date is not certain, but January 1, 1904, is the most widely accepted date.",Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Oum Kalthoum? 
Q1110560,ar,it,dob,1898-12-30T00:00:00Z, 1904-12-04,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Umm Kulthum? 
Q1110560,ar,pl,dob,1898-12-30T00:00:00Z," Odpowiedź: 1904-11-04

Explanation:
Umm Kulthum was born on November 4, 1904. In response to the question, I provided the answer in the format requested, which is a date in the format ""YYYY-MM-DD"".","Instruction  Odpowiedz na pytanie w języku poleceń.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  Kiedy urodził/urodziła się Umm Kulthum? "
Q1110560,ar,ru,dob,1898-12-30T00:00:00Z, 1919-06-04,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Умм Кульсум? 
Q1110560,ar,zh,dob,1898-12-30T00:00:00Z, 1588-11-15,Instruction 用与问题相同的语言回答给出的问题。 只回答关键词答案。 不要给出任何解释。 返回答案遵循下面的形式‘YYYY-MM-DD’。 Question 烏姆·庫勒蘇姆的生日是？ 
Q57308,ar,ar,dob,1937-03-02T00:00:00Z, 1911-01-25,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد عبد العزيز بوتفليقة ؟ 
Q57308,ar,en,dob,1937-03-02T00:00:00Z, 1937-03-03,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Abdelaziz Bouteflika? 
Q57308,ar,de,dob,1937-03-02T00:00:00Z, 1955-03-02,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Abd al-Aziz Bouteflika? 
Q57308,ar,fr,dob,1937-03-02T00:00:00Z, 1937-03-03,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Abdelaziz Bouteflika? 
Q57308,ar,it,dob,1937-03-02T00:00:00Z, 1937-03-03,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Abdelaziz Bouteflika? 
Q57308,ar,pl,dob,1937-03-02T00:00:00Z," I'm an AI language model and I don't have the ability to access specific information or databases. However, I can tell you that Abdelaziz Bouteflika was born on March 2, 1937. So the answer to your question is ""1937-03-02"".","Instruction  Odpowiedz na pytanie w języku poleceń.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  Kiedy urodził/urodziła się Abdelaziz Buteflika? "
