properties,num_properties,coverage,score
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,20168,100840
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,21676,86704
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,21078,84312
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,20205,80820
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,20173,80692
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,20168,80672
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,12768,76608
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,13290,66450
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,13149,65745
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,9357,65499
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,12779,63895
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,12770,63850
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,12768,63840
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,10351,62106
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",6,9809,58854
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,9730,58380
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",6,9361,56166
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",6,9360,56160
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",6,9357,56142
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,9357,56142
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,11169,55845
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,9171,55026
"has_gender, has_educated_at, has_occupation, has_date_of_birth",4,13733,54932
"has_place_of_birth, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,10925,54625
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation",4,13321,53284
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",4,13292,53168
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,13290,53160
"has_place_of_birth, has_gender, has_educated_at, has_occupation",4,13163,52652
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_birth",4,13151,52604
"has_place_of_birth, has_gender, has_educated_at, has_date_of_birth",4,13149,52596
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,10355,51775
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,10353,51765
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,10351,51755
"has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,10255,51275
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation",4,12781,51124
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at",4,12779,51116
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,12770,51080
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death",5,9813,49065
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_birth",5,9813,49065
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",5,9809,49045
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",5,9809,49045
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,12183,48732
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,9740,48700
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,9734,48670
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,9730,48650
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,9730,48650
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,9542,47710
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",7,6699,46893
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_birth",5,9372,46860
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",5,9365,46825
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",5,9361,46805
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",5,9361,46805
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",5,9360,46800
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",5,9360,46800
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,9357,46785
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received",5,9173,45865
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,9171,45855
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",5,9171,45855
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,11195,44780
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",8,5590,44720
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,11171,44684
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,11169,44676
"has_place_of_birth, has_gender, has_occupation, has_date_of_death",4,10931,43724
"has_place_of_birth, has_occupation, has_date_of_death, has_date_of_birth",4,10927,43708
"has_place_of_birth, has_gender, has_date_of_death, has_date_of_birth",4,10925,43700
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,6090,42630
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death",4,10357,41428
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death",4,10355,41420
"has_place_of_birth, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,10353,41412
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",6,6883,41298
"has_place_of_death, has_gender, has_occupation, has_date_of_death",4,10268,41072
"has_place_of_death, has_gender, has_occupation, has_date_of_birth",4,10260,41040
"has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",4,10255,41020
"has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",4,10255,41020
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_birth",6,6824,40944
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,5799,40593
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",6,6700,40200
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_birth",6,6699,40194
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",6,6699,40194
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,5725,40075
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,5001,40008
"has_place_of_birth, has_place_of_death, has_gender, has_occupation",4,9818,39272
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_birth",4,9814,39256
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death",4,9813,39252
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death",4,9813,39252
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_birth",4,9813,39252
"has_place_of_birth, has_place_of_death, has_date_of_death, has_date_of_birth",4,9809,39236
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",7,5591,39137
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",7,5591,39137
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",7,5590,39130
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,5590,39130
"has_gender, has_occupation, has_award_received, has_date_of_birth",4,9781,39124
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",4,9745,38980
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",4,9740,38960
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",4,9740,38960
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",4,9734,38936
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",4,9734,38936
"has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,9730,38920
"has_gender, has_country_of_citizenship, has_occupation, has_award_received",4,9550,38200
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",4,9542,38168
