properties,num_properties,coverage,score
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,12051,60255
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,13368,53472
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,12628,50512
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,12075,48300
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,12051,48204
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,12051,48204
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,6798,40788
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,6059,36354
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,7199,35995
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,5136,35952
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,6953,34765
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,6802,34010
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,6798,33990
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,6798,33990
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,6687,33435
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",6,5478,32868
"has_place_of_birth, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,6481,32405
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,5388,32328
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",6,5137,30822
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",6,5136,30816
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",6,5136,30816
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,5136,30816
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,6060,30300
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,6059,30295
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,6059,30295
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,5011,30066
"has_gender, has_educated_at, has_occupation, has_date_of_birth",4,7396,29584
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,7380,29520
"has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,5793,28965
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation",4,7235,28940
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",4,7199,28796
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,7199,28796
"has_place_of_birth, has_gender, has_educated_at, has_occupation",4,6957,27828
"has_place_of_birth, has_gender, has_educated_at, has_date_of_birth",4,6953,27812
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_birth",4,6953,27812
