Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,dob,1898-12-30T00:00:00Z,2023-06-15,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد أم كلثوم ؟
Q1110560,ar,en,dob,1898-12-30T00:00:00Z,1920-11-16,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Umm Kulthum?
Q1110560,ar,fr,dob,1898-12-30T00:00:00Z,1926-01-09,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Oum Kalthoum?
Q1110560,ar,it,dob,1898-12-30T00:00:00Z,1928-11-26,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Umm Kulthum?
Q1110560,ar,pl,dob,1898-12-30T00:00:00Z,,"Instruction  Odpowiedz na pytanie w języku poleceń.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  Kiedy urodził/urodziła się Umm Kulthum?"
Q1110560,ar,ru,dob,1898-12-30T00:00:00Z,Я не знаю точной даты рождения Умм Кульсум.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Умм Кульсум?
Q1110560,ar,zh,dob,1898-12-30T00:00:00Z,1906-10-16,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 烏姆·庫勒蘇姆的生日是？
Q1110560,ar,de,dob,1898-12-30T00:00:00Z,1920-04-21,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Umm Kulthum?
Q57308,ar,it,dob,1937-03-02T00:00:00Z,1947-03-21,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Abdelaziz Bouteflika?
Q57308,ar,zh,dob,1937-03-02T00:00:00Z,2010-06-16,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 阿卜杜勒-阿齐兹·布特弗利卡的生日是？
Q57308,ar,ru,dob,1937-03-02T00:00:00Z,2023-10-15,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Абдель Азиз Бутефлика?
Q57308,ar,pl,dob,1937-03-02T00:00:00Z,"Jeśli więc potrzebujeś ustalić datę urodzenia osoby, może być warto znaleźć jej pełną","Instruction  Odpowiedz na pytanie w języku poleceń.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  Kiedy urodził/urodziła się Abdelaziz Buteflika?"
Q57308,ar,fr,dob,1937-03-02T00:00:00Z,1933-01-21,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Abdelaziz Bouteflika?
Q57308,ar,en,dob,1937-03-02T00:00:00Z,1996-03-21,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Abdelaziz Bouteflika?
Q57308,ar,de,dob,1937-03-02T00:00:00Z,1936-11-21,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Abd al-Aziz Bouteflika?
Q57308,ar,ar,dob,1937-03-02T00:00:00Z,1992-04-21,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد عبد العزيز بوتفليقة ؟
Q127998,ar,ar,dob,1935-11-15T00:00:00Z,,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد محمود عباس ؟
Q127998,ar,zh,dob,1935-11-15T00:00:00Z,1983-03-21,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 马哈茂德·阿巴斯的生日是？
Q127998,ar,ru,dob,1935-11-15T00:00:00Z,2023-07-21,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Махмуд Аббас?
Q127998,ar,pl,dob,1935-11-15T00:00:00Z,"Czamieńszczyk, który przemawia do swoich przeciwn","Instruction  Odpowiedz na pytanie w języku poleceń.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  Kiedy urodził/urodziła się Mahmud Abbas?"
Q127998,ar,fr,dob,1935-11-15T00:00:00Z,1953-03-21,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Mahmoud Abbas?
Q127998,ar,en,dob,1935-11-15T00:00:00Z,The birth date of Mahmoud Abbas is 1937-11-15.,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Mahmoud Abbas?
Q127998,ar,de,dob,1935-11-15T00:00:00Z,1937-03-21,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Mahmud Abbas?
Q127998,ar,it,dob,1935-11-15T00:00:00Z,1953-03-26,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Mahmūd Abbās?
Q151509,ar,zh,dob,1877-01-15T00:00:00Z,或者，可能我记错了，正确的日期是12月31日或者其他日期。可能需要查阅一下资料，但根据我的知识库，阿卜杜勒-阿齐兹·本·阿卜杜勒-,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的生日是？
Q151509,ar,pl,dob,1877-01-15T00:00:00Z,Brakuje informacji o dacie urodzenia Abd al-Aziz ibn Saud.,"Instruction  Odpowiedz na pytanie w języku poleceń.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  Kiedy urodził/urodziła się Abd al-Aziz ibn Saud?"
Q151509,ar,it,dob,1877-01-15T00:00:00Z,1932-11-26,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Abd al-Aziz dell'Arabia Saudita?
Q151509,ar,ar,dob,1877-01-15T00:00:00Z,,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد عبد العزيز بن عبد الرحمن آل سعود ؟
Q151509,ar,fr,dob,1877-01-15T00:00:00Z,1983-07-05,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Abdelaziz ben Abderrahmane Al Saoud?
Q151509,ar,en,dob,1877-01-15T00:00:00Z,1879-11-15,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Ibn Saud?
