creator_id,has_place_of_birth,has_place_of_death,has_gender,has_father,has_mother,has_spouse,has_country_of_citizenship,has_position_held,has_child,has_educated_at,has_field_of_work,has_native_language,has_occupation,has_employer,has_award_received,has_date_of_death,has_date_of_birth,has_cause_of_death,has_academic_degree,has_notable_work,has_religion,has_ethnic_group
Q28497318,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
Q4460976,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Q3918727,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q4466885,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0
Q111628872,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q4475278,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q116056545,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q4099774,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Q381390,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0
Q15076170,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Q106363918,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q4277930,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q20748116,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0
Q1316416,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Q4272167,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
Q674048,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1
Q502325,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0
Q19908625,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
Q42306069,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q4249821,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Q4229302,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q4430033,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Q15061586,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
Q4065355,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Q4242768,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q112516307,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Q28466359,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q6813882,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q4298610,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Q117081121,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q4431261,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
Q4271390,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q4159769,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
Q4287269,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
Q4183350,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0
Q4314351,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
Q4182978,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0
Q4233092,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0
Q4055182,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q4416497,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0
Q4097244,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q4174678,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Q4094624,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q6462668,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q18346629,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q372087,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
Q112515411,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Q6707668,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0
Q2874497,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0
Q12736795,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Q105731050,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
Q4096256,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
Q4297949,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0
Q4154823,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
Q61918118,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q4464599,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
