Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,dob,1898-12-30T00:00:00Z,1917-04-21,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد أم كلثوم ؟
Q1110560,ar,en,dob,1898-12-30T00:00:00Z,1904-05-31,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Umm Kulthum?
Q1110560,ar,fr,dob,1898-12-30T00:00:00Z,1904-04-26,Instruction Réponds à la question en Français.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Oum Kalthoum?
Q1110560,ar,ru,dob,1898-12-30T00:00:00Z,1948-04-26,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Умм Кульсум?
Q1110560,ar,zh,dob,1898-12-30T00:00:00Z,1955-07-29,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 烏姆·庫勒蘇姆的生日是？
Q1110560,ar,de,dob,1898-12-30T00:00:00Z,1904-04-31,Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Umm Kulthum?
Q57308,ar,fr,dob,1937-03-02T00:00:00Z,1937-03-02,Instruction Réponds à la question en Français.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Abdelaziz Bouteflika?
Q57308,ar,zh,dob,1937-03-02T00:00:00Z,2002-04-03,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 阿卜杜勒-阿齐兹·布特弗利卡的生日是？
Q57308,ar,ru,dob,1937-03-02T00:00:00Z,1937-03-02,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Абдель Азиз Бутефлика?
Q57308,ar,en,dob,1937-03-02T00:00:00Z,1937-03-02,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Abdelaziz Bouteflika?
Q57308,ar,de,dob,1937-03-02T00:00:00Z,1937-03-02,Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Abd al-Aziz Bouteflika?
Q57308,ar,ar,dob,1937-03-02T00:00:00Z,1997-03-02,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد عبد العزيز بوتفليقة ؟
Q127998,ar,ar,dob,1935-11-15T00:00:00Z,1935-03-15,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد محمود عباس ؟
Q127998,ar,zh,dob,1935-11-15T00:00:00Z,1982-09-14,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 马哈茂德·阿巴斯的生日是？
Q127998,ar,ru,dob,1935-11-15T00:00:00Z,1935-03-15,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Махмуд Аббас?
Q127998,ar,en,dob,1935-11-15T00:00:00Z,1935-11-15,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Mahmoud Abbas?
