Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,occ,"['ممثل أفلام', 'مغني', 'ممثل']",[ممثلة، مغنية، مؤلفة، مخرجة، مصورة، مسرحية، موسيقية],Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة أم كلثوم ؟
Q1110560,ar,en,occ,"['film actor', 'singer', 'actor']","[singer, actress, songwriter]","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Umm Kulthum?"
Q1110560,ar,fr,occ,"['acteur ou actrice de cinéma', 'chanteur ou chanteuse', 'acteur ou actrice']",[chanteuse],"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Oum Kalthoum ?"
Q1110560,ar,ru,occ,"['киноактёр', 'певец', 'актёр']","[певица, актриса]","Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Умм Кульсум?"
Q1110560,ar,zh,occ,"['電影演員', '歌手', '演員']","[女演員, 模特, 音樂家, 寫作者]","Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 烏姆·庫勒蘇姆的職業是？"
Q1110560,ar,de,occ,"['Filmschauspieler', 'Sänger', 'Schauspieler']","[Sängerin, Musikerin]","Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Umm Kulthum?"
Q57308,ar,fr,occ,"['diplomate', 'révolutionnaire', ""homme d'État"", 'personnalité politique']","[Président, Politicien]","Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Abdelaziz Bouteflika ?"
Q57308,ar,zh,occ,"['外交官', '革命家', '政治家', '政治人物']","[‘政治家’, ‘阿爾及利亞總統’]","Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·布特弗利卡的職業是？"
Q57308,ar,ru,occ,"['дипломат', 'революционер', 'государственный деятель', 'политик']",[политик],"Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Абдель Азиз Бутефлика?"
Q57308,ar,en,occ,"['diplomat', 'revolutionary', 'statesperson', 'politician']",[President of Algeria],"Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Abdelaziz Bouteflika?"
Q57308,ar,de,occ,"['Diplomat', 'Revolutionär', 'Staatsmann', 'Politiker']",[Präsident],"Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Abd al-Aziz Bouteflika?"
