Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,dob,1898-12-30T00:00:00Z,1904-05-30,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد أم كلثوم ؟
Q1110560,ar,en,dob,1898-12-30T00:00:00Z,1898-12-31,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Umm Kulthum?
Q1110560,ar,fr,dob,1898-12-30T00:00:00Z,1904-12-30,Instruction Réponds à la question en Français.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Oum Kalthoum?
Q1110560,ar,ru,dob,1898-12-30T00:00:00Z,1904-05-31,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Умм Кульсум?
Q1110560,ar,zh,dob,1898-12-30T00:00:00Z,1959-09-15,Instruction 用繁體中文回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’。 Question 烏姆·庫勒蘇姆的生日是？
Q1110560,ar,it,dob,1898-12-30T00:00:00Z,1898-12-31,Instruction Rispondi in Italiano.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Umm Kulthum?
Q1110560,ar,pl,dob,1898-12-30T00:00:00Z,1898-12-31,"Instruction  Odpowiedz na pytanie w języku polskim.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  # Kiedy urodził/urodziła się Umm Kulthum?"
Q1110560,ar,de,dob,1898-12-30T00:00:00Z,1904-12-31,Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Umm Kulthum?
Q57308,ar,ru,dob,1937-03-02T00:00:00Z,1937-03-02,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Абдель Азиз Бутефлика?
Q57308,ar,pl,dob,1937-03-02T00:00:00Z,1937-03-02,"Instruction  Odpowiedz na pytanie w języku polskim.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  # Kiedy urodził/urodziła się Abdelaziz Buteflika?"
