Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,occ,ممثل, Broccoli is a vegetable.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة أم كلثوم ؟
Q1110560,ar,en,occ,actor, Umm Kulthum was an Egyptian singer.,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Umm Kulthum?
Q1110560,ar,fr,occ,acteur ou actrice, Oum Kalthoum was an Egyptian singer.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Oum Kalthoum ?
Q1110560,ar,it,occ,attore, Umm Kulthum was an Egyptian singer.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Umm Kulthum?
Q1110560,ar,pl,occ,aktor, Singer.,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Umm Kulthum?
Q1110560,ar,ru,occ,актёр, Умм Кульсум was a singer.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Умм Кульсум?
Q1110560,ar,zh,occ,演員, Umar Khan-dhul-Qadir was a scholar.,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 烏姆·庫勒蘇姆的職業是？"
Q1110560,ar,de,occ,Schauspieler," Sängerin

(Note: Umm Kulthum was an Egyptian singer known for her influential and emotive performances in Arabic music.)",Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Umm Kulthum?
Q57308,ar,it,occ,politico, Abdelaziz Bouteflika was the President of Algeria.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Abdelaziz Bouteflika?
Q57308,ar,zh,occ,政治人物, Abraham Lincoln-Ulysses S. Grant was a president.,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·布特弗利卡的職業是？"
Q57308,ar,ru,occ,политик, Абдель Азиз Бутефлика - президент.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Абдель Азиз Бутефлика?
Q57308,ar,pl,occ,polityk, Politician.,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Abdelaziz Buteflika?
Q57308,ar,fr,occ,personnalité politique, Abdelaziz Bouteflika was a politician.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Abdelaziz Bouteflika ?
Q57308,ar,en,occ,politician, Abdelaziz Bouteflika was a politician.,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Abdelaziz Bouteflika?
Q57308,ar,de,occ,Politiker, Abd al-Aziz Bouteflika was a politician.,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Abd al-Aziz Bouteflika?
Q57308,ar,ar,occ,سياسي, Abdulaziz Al-Dosari is a Saudi Arabian footballer.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عبد العزيز بوتفليقة ؟
Q127998,ar,ar,occ,سياسي, Mohammed Abas: Unknown without additional context.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة محمود عباس ؟
Q127998,ar,zh,occ,政治人物, Mahatma Gandhi was a political and civil rights leader.,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 马哈茂德·阿巴斯的職業是？"
Q127998,ar,ru,occ,политик, Махмуд Аббас - политик.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Махмуд Аббас?
Q127998,ar,pl,occ,polityk, Politician.,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Mahmud Abbas?
Q127998,ar,fr,occ,personnalité politique, Mahmoud Abbas is a Palestinian politician and the President of the Palestinian National Authority.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Mahmoud Abbas ?
Q127998,ar,en,occ,politician, Mahmoud Abbas is a Palestinian politician and the President of the Palestinian National Authority.,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Mahmoud Abbas?
Q127998,ar,de,occ,Politiker, Mahmud Abbas is a Palestinian politician and the President of the Palestinian National Authority.,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Mahmud Abbas?
Q127998,ar,it,occ,politico, Mahmūd Abbās is the President of the Palestinian National Authority.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Mahmūd Abbās?
Q151509,ar,zh,occ,政治家, Albert Einstein-Albert A. Michelson-Gabriel Lipmann-Leo A. Szilard were physicists.,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的職業是？"
Q151509,ar,pl,occ,mąż stanu, Monarch.,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Abd al-Aziz ibn Saud?
Q151509,ar,it,occ,statista, Abd al-Aziz di Arabia Saudita era un monarca.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Abd al-Aziz dell'Arabia Saudita?
Q151509,ar,ar,occ,رجل دولة, Abdulaziz bin Abdulrahman Al Saud was the King of Saudi Arabia.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عبد العزيز بن عبد الرحمن آل سعود ؟
Q151509,ar,fr,occ,homme d'État, Abdelaziz ben Abderrahmane Al Saoud is a Saudi Arabian prince.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Abdelaziz ben Abderrahmane Al Saoud ?
Q151509,ar,en,occ,statesperson, Ibn Saud was a Saudi Arabian king.,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Ibn Saud?
Q151509,ar,de,occ,Staatsmann," Abd al-Aziz ibn Saud war der Gründer und erster König von Saudi-Arabien.

Antwort: Gründer, König.",Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Abd al-Aziz ibn Saud?
Q151509,ar,ru,occ,государственный деятель, Абдул-Азиз ибн Абдуррахман Аль Сауд was a monarch.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Абдул-Азиз ибн Абдуррахман Аль Сауд?
Q118725,ar,it,occ,politico, Hafiz al-Assad was a Syrian politician and military officer. He served as the President of Syria from 1971 to 2000.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Hafiz al-Assad?
Q118725,ar,zh,occ,政治人物, Hafez Al-Assad was a politician.,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 哈菲兹·阿萨德的職業是？"
Q118725,ar,ru,occ,политик, Хафез Асад был президентом Сирии.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Хафез Асад?
Q118725,ar,pl,occ,polityk, Hafiz al-Asad was a president.,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Hafiz al-Asad?
Q118725,ar,en,occ,politician, Hafez al-Assad was a Syrian politician and military officer who served as the President of Syria from 1971 to 2000.,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Hafez al-Assad?
Q118725,ar,fr,occ,personnalité politique, Hafez el-Assad was a Syrian politician and military officer. He served as the President of Syria from 1971 to 2000.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Hafez el-Assad ?
Q118725,ar,de,occ,Politiker, Präsident (Syrien),Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Hafiz al-Assad?
Q118725,ar,ar,occ,سياسي, Lion guardian.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة حافظ الأسد ؟
Q170515,ar,it,occ,scrittore, Omar Sharif was an actor.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Omar Sharif?
Q170515,ar,zh,occ,作家," 奥格亚·雪瑞夫是一个法国艺术家。(Ogden Nash is a French artist.) [Note: This is a mistake in the question, Ogden Nash is an American poet.]","Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 奧瑪·雪瑞夫的職業是？"
Q170515,ar,ru,occ,писатель, Actor.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Омар Шариф?
Q170515,ar,pl,occ,pisarz, Actor.,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Omar Sharif?
Q170515,ar,ar,occ,كاتب, عمر الشريف: رجل كبير ومعنيه السريع. (Age of the Noble: Elderly swift man.),Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عمر الشريف ؟
Q170515,ar,fr,occ,écrivain ou écrivaine, Omar Sharif was an actor.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Omar Sharif ?
Q170515,ar,en,occ,writer, Omar Sharif was an actor.,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Omar Sharif?
Q170515,ar,de,occ,Schriftsteller, Omar Sharif was an actor.,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Omar Sharif?
Q57350,ar,ar,occ,سياسي, Idris Elba is an actor.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة إدريس ديبي ؟
Q57350,ar,zh,occ,政治人物, Idris Coetzee is a chess grandmaster.,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 伊德里斯·代比的職業是？"
Q57350,ar,ru,occ,политик, Idris Deby is a Chadian politician and military officer.,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Идрис Деби?
Q57350,ar,pl,occ,polityk, Idriss Déby was a President.,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Idriss Déby?
Q57350,ar,it,occ,politico, Idriss Déby was the President of Chad.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Idriss Déby?
Q57350,ar,fr,occ,personnalité politique, Idriss Déby was a Chadian politician and military leader. He served as the President of Chad from 1990 until his death in 2021.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Idriss Déby ?
Q57350,ar,en,occ,politician, Idriss Déby was a president.,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Idriss Déby?
