A,B,KS_D,p_value
Arabic,Chinese,0.042981212993604107,0.49608833507200933
Arabic,English,0.06727059427559678,0.0013032789121231545
Arabic,French,0.03091580515712892,0.4832793349015783
Arabic,German,0.04609468669613422,0.09092708233131713
Arabic,Hindi,0.06014465792915927,0.19361693860468476
Arabic,Italian,0.05653861550338833,0.052699930452729415
Arabic,Polish,0.10375907796775323,0.00018993156175900236
Arabic,Russian,0.04121728108695447,0.2365678188517068
Chinese,English,0.0819949564323098,0.000549852826689386
Chinese,French,0.054378781535573434,0.07091770651688424
Chinese,German,0.056974816293907625,0.05206348307364847
Chinese,Hindi,0.058111624851562696,0.287275597944841
Chinese,Italian,0.06720438406915714,0.0307041942455142
Chinese,Polish,0.11390723775648977,0.00014894735053103236
Chinese,Russian,0.05051152339118554,0.15517996868410153
English,French,0.06683448199542363,2.639591697547213e-14
English,German,0.030947514179253177,0.0025311363645695935
English,Hindi,0.04404754764261121,0.2959615483410706
English,Italian,0.030885147332274654,0.11811663997583821
English,Polish,0.06087042289425049,0.005097275512337822
English,Russian,0.09655445913672156,3.4092097234625816e-16
French,German,0.05659110437561637,6.215633665738173e-07
French,Hindi,0.04873883999433196,0.22387949557376338
French,Italian,0.054995838193056465,0.0011976259355201441
French,Polish,0.1195127526015934,2.1012615263085227e-09
French,Russian,0.036761562352070995,0.031617913154712254
German,Hindi,0.03534028730827617,0.6113701241751862
German,Italian,0.029529807041570526,0.23736191269776802
German,Polish,0.0746682955354773,0.0006494118178912768
German,Russian,0.07921428497644722,1.1533037895578113e-08
Hindi,Italian,0.02891290589552602,0.8939836439470988
Hindi,Polish,0.0919224125538769,0.009019439451767447
Hindi,Russian,0.07964356745919401,0.010393789069997952
Italian,Polish,0.08593025599677484,0.0004827139090840487
Italian,Russian,0.08841626596462218,6.755121809516095e-07
Polish,Russian,0.14355488806060535,1.618489672014683e-11
