properties,num_properties,coverage,score
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,79054,395270
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,84315,337260
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,82011,328044
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,79097,316388
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,79054,316216
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,79054,316216
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,49295,295770
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,39285,274995
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,51715,258575
"has_place_of_birth, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,51402,257010
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,49301,246505
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,49295,246475
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,49295,246475
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",6,40917,245502
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,40064,240384
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",6,39306,235836
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",6,39287,235722
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",6,39285,235710
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,39285,235710
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,37256,223536
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,54664,218656
"has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,41829,209145
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,51742,206968
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,51715,206860
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,51715,206860
"has_place_of_birth, has_gender, has_occupation, has_date_of_death",4,51412,205648
"has_place_of_birth, has_occupation, has_date_of_death, has_date_of_birth",4,51403,205612
"has_place_of_birth, has_gender, has_date_of_death, has_date_of_birth",4,51402,205608
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_birth",5,40949,204745
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death",5,40922,204610
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",5,40917,204585
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",5,40917,204585
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,40092,200460
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,40070,200350
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,40064,200320
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,40064,200320
