creator_id,has_place_of_birth,has_place_of_death,has_gender,has_father,has_mother,has_spouse,has_country_of_citizenship,has_position_held,has_child,has_educated_at,has_field_of_work,has_native_language,has_occupation,has_employer,has_award_received,has_date_of_death,has_date_of_birth,has_cause_of_death,has_academic_degree,has_notable_work,has_religion,has_ethnic_group
Q2821196,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q7305428,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q2821164,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q12222173,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0
Q12246707,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Q6892904,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
Q6892898,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0
Q1391705,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0
Q12216783,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q6088060,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Q57061367,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0
Q4681564,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Q2827527,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Q61075646,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q12250127,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
Q4703293,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Q6496083,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Q112657180,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q16874444,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q12240557,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0
Q12182735,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
Q108395607,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q1588031,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0
Q3318368,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
Q116973551,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
Q114258951,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q6813882,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q107644066,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Q4695394,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0
Q108617908,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q59137426,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Q12203452,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
Q12223633,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q312952,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
Q96613969,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0
Q12239914,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
Q12177857,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0
Q6606978,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q12214786,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
Q438201,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Q107696027,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q116762211,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q3357945,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q16665408,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Q12249589,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0
Q20395746,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
Q4120512,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q22932883,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Q87737031,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0
Q2972083,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
