row_id,line_id,lang,gt,gt_normalized,gt_geonames_id,llm_output,llm_normalized,llm_geonames_id,match
0,Q1110560,ar,طماي الزهايرة,طماي الزهايرة,Q12221870,المنيا,المنيا,Q310117,False
1,Q1110560,en,Tamay Ez-Zahayra,Tamayy Elzahayra,Q12221870,Khartoum,Khartoum,Q1963,False
2,Q1110560,pl,Tummaj az-Zahajira,Tummaj az-Zahajira,Q12221870,Damietta,Damietta,Q189383,False
3,Q1110560,ru,Та­май-эз-За­хай­ра,Та­май-эз-За­хай­ра,Q12221870,Каир,Каир,Q85,False
4,Q57308,ar,وجدة,وجدة,Q193802,مستغانم,مستغانم,Q849524,False
5,Q57308,en,Oujda,Oujda,Q193802,Oujda,Oujda,Q193802,True
6,Q57308,de,Oujda,Oujda,Q193802,Oum El Bouaghi,Oum el Bouaghi,Q235705,False
7,Q57308,fr,Oujda,Oujda,Q193802,Oum El Bouaghi,Oum El Bouaghi,Q235705,False
8,Q57308,it,Oujda,Oujda,Q193802,Algeria,Algeria,Q262,False
9,Q57308,pl,Wadżda,Wadżda,Q193802,W Tamgult,nan,nan,False
10,Q57308,ru,Уджда,Уджда,Q193802,Айн-Млила,Айн-Млила,Q722562,False
11,Q57308,zh,乌季达,乌季达,Q193802,阿卜杜勒-阿齐兹·布特弗利卡,nan,nan,False
12,Q151509,ar,الرياض,الرياض,Q3692,رياض,nan,nan,False
13,Q151509,en,Riyadh,Riyadh Province,Q1249255,Riyadh,Riyadh Province,Q1249255,True
14,Q151509,de,Riad,Riad,Q3692,Riyadh,Provinz Riad,Q1249255,False
15,Q151509,fr,Riyad,Riyad,Q1249255,Riyad,Riyad,Q1249255,True
16,Q151509,it,Riad,Riad,Q3692,Arabia Saudita,Arabia Saudita,Q851,False
17,Q151509,pl,Rijad,Rijad,Q3692,Riyad,Riyad,Q891956,False
18,Q151509,ru,Эр-Рияд,Эр-Рияд,Q3692,Рияд.,nan,nan,False
19,Q151509,zh,利雅德,利雅德,Q3692,利雅得,利雅德,Q3692,True
20,Q127998,ar,صفد,صفد,Q188336,سلفيت,سلفيت,Q1972013,False
21,Q127998,en,Safed,Safed,Q188336,Safed,Safed,Q188336,True
22,Q127998,de,Safed,Safed,Q188336,Safed,Safed,Q188336,True
23,Q127998,fr,Safed,Safed,Q188336,Safed,Safed,Q188336,True
24,Q127998,it,Safad,Safad,Q188336,Palestina,Palestina,Q219060,False
25,Q127998,pl,Safed,Safed,Q188336,Safa,Safakis,Q46325,False
26,Q127998,ru,Цфат,Цфат,Q188336,Сафед,Цфат,Q188336,True
27,Q127998,zh,采法特,采法特,Q188336,卡尔基西亚,nan,nan,False
28,Q118725,ar,القرداحة,القرداحة,Q2121450,قنيطرة,القنيطرة,Q12191506,False
29,Q118725,en,Qardaha,Qardaha District,Q2611794,Qardaha,Qardaha District,Q2611794,True
30,Q118725,de,Qardaha,Qardaha,Q2121450,Qardaha,Qardaha,Q2121450,True
31,Q118725,fr,Qardaha,Qardaha,Q2121450,Qardaha,Qardaha,Q2121450,True
32,Q118725,it,Qardaha,Qardaha,Q2121450,Siria,Siria,Q858,False
33,Q118725,pl,Kardaha,Kardaha,Q2121450,Qardaha,Kardaha,Q2121450,True
34,Q118725,ru,Кардаха,Кардаха,Q2121450,Дамаск,Дамаск,Q3766,False
35,Q118725,zh,卡爾達哈,卡爾達哈,Q2121450,大马士革,大马士革,Q3766,False
36,Q170515,ar,الإسكندرية,الإسكندرية,Q87,مكة المكرمة,مكة المكرمة,Q5806,False
37,Q170515,en,Alexandria,Alexandria,Q88,Alexandria,Alexandria,Q88,True
38,Q170515,de,Alexandria,Alexandria,Q88,Alexandria,Alexandria,Q88,True
39,Q170515,fr,Alexandrie,Alexandrie,Q87,Alexandrie,Alexandrie,Q87,True
40,Q170515,it,Alessandria d'Egitto,Alessandria d'Egitto,Q87,Egitto,Egitto,Q79,False
41,Q170515,pl,Aleksandria,Aleksandria,Q87,Aleksandria,Aleksandria,Q87,True
42,Q170515,ru,Александрия,Александрия,Q87,Каир.,Каир,Q85,False
43,Q170515,zh,亞歷山大港,亚历山大港,Q1344739,加利福尼亚州洛杉矶,nan,nan,False
44,Q181182,ar,برج حمود,برج حمود,Q895235,بيروت,بيروت,Q3820,False
45,Q181182,en,Bourj Hammoud,Bourj Hammoud,Q895235,Berkaa,nan,nan,False
46,Q181182,de,Bourj Hammoud,Bourj Hammoud,Q895235,Berkaa,nan,nan,False
47,Q181182,fr,Bourj Hammoud,Bourj Hammoud,Q895235,Berkâa,nan,nan,False
48,Q181182,it,Bourj Hammoud,Bourj Hammoud,Q895235,Libano,Libano,Q822,False
