creator_id,has_place_of_birth,has_place_of_death,has_gender,has_father,has_mother,has_spouse,has_country_of_citizenship,has_position_held,has_child,has_educated_at,has_field_of_work,has_native_language,has_occupation,has_employer,has_award_received,has_date_of_death,has_date_of_birth,has_cause_of_death,has_academic_degree,has_notable_work,has_religion,has_ethnic_group
Q18118422,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Q15914035,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q8313446,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q5934799,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
Q18119177,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Q16076116,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Q11353301,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q20064232,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Q30940816,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Q11137195,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q11541530,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Q114690380,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q16077377,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Q8291716,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Q16922863,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Q51104009,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q45645980,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Q104723661,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q3436112,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q11173013,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Q28409554,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
Q16906491,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q18112165,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Q10948136,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q835818,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q16908257,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q18119231,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Q10943448,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q8299017,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
Q17025731,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q45469505,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Q5443362,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
Q16906865,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q21018169,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Q10864202,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Q60694615,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Q5964278,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
Q15898438,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Q11097683,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Q19855959,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
