Q_number,LoE,LoQ,prop,gt,gt_en,llm_output,llm_output_en,eval,eval_type,model,primary_annotator,secondary_annotator,primary_judgment,secondary_judgment,notes
Q1232500,it,it,CoC,['Repubblica di Venezia'],['Republic of Venice'],[Italia],"[""Italy""]",TP,historical_match,Mistral-7B-Instruct-v0_3,Andrea,Kanchan,disagree,agree,"historically, ""Repubblica di Venezia""  was not part of italy"
Q657541,en,it,CoC,['Regno Unito'],['United Kingdom'],[Inghilterra],"[""England""]",TP,substring_match,Moonlight-16B-A3B-Instruct,Andrea,Kanchan,agree,agree,
Q288627,en,it,CoC,['Regno Unito'],['United Kingdom'],[Inghilterra],"[""England""]",TP,substring_match,Moonlight-16B-A3B-Instruct,Andrea,Kanchan,agree,agree,
Q449468,it,it,CoC,['Repubblica di Venezia'],['Republic of Venice'],[Italia],"[""Italy""]",TP,historical_match,Moonlight-16B-A3B-Instruct,Andrea,Kanchan,disagree,agree,"historically, ""Repubblica di Venezia""  was not part of italy"
Q451969,en,it,CoC,['Regno Unito di Gran Bretagna e Irlanda'],['United Kingdom of Great Britain and Ireland'],[Gran Bretagna],"[""Great Britain""]",TP,substring_match,glm-4-9b-chat-hf,Andrea,Kanchan,agree,agree,
Q7325423,en,it,CoC,['Canada'],['Canada'],[Stati Uniti],United States,FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Andrea,Kanchan,agree,agree,
Q530521,ru,it,CoC,"['Unione Sovietica', 'Impero russo']","['Soviet Union', 'Russian Empire']",[Ucraina],"[""Ukraine""]",FP,no_match,Moonlight-16B-A3B-Instruct,Andrea,Kanchan,disagree,disagree,"historically, ukraine was part of USSR"
Q3074901,en,it,CoC,['Argentina'],['Argentina'],[Italia],"[""Italy""]",FP,no_match,gemma-2-9b-it,Andrea,Kanchan,agree,agree,
Q461851,en,it,CoC,['Sierra Leone'],['Sierra Leone'],[Giamaica],"[""Jamaica""]",FP,no_match,DeepSeek-V2-Lite-Chat,Andrea,Kanchan,agree,agree,
Q547349,de,it,CoC,['Germania'],['Germany'],[Italia],"[""Italy""]",FP,no_match,gemma-2-9b-it,Andrea,Kanchan,agree,agree,
Q1167073,fr,it,CoC,['Turchia'],['Turkey'],[Spagna],"[""Spain""]",FP,no_match,gemma-2-9b-it,Andrea,Kanchan,agree,agree,
Q378462,zh,pl,CoC,['Ming'],['Ming dynasty'],[Chiny],"[""China""]",TP,historical_match,phi-4,Andrea,Kanchan,agree ,agree,
Q254196,zh,pl,CoC,['Republika Chińska (1912–1949)'],['Republic of China'],[Chiny],"[""China""]",TP,historical_match,Qwen3-14B,Andrea,Kanchan,agree,agree,
Q704286,zh,pl,CoC,['Republika Chińska (1912–1949)'],['Republic of China'],[Chiny],"[""China""]",TP,historical_match,DeepSeek-V2-Lite-Chat,Andrea,Kanchan,agree,agree,
Q1232500,it,pl,CoC,['Republika Wenecka'],['Republic of Venice'],[Włochy],Italy,TP,historical_match,Mistral-7B-Instruct-v0_3,Andrea,Kanchan,agree,agree,didn't answer in italian language (other language)
Q6539998,zh,pl,CoC,"['Republika Chińska (1912–1949)', 'Chińska Republika Ludowa']","['Republic of China', ""People's Republic of China""]",[Taiwan],"[""Taiwan""]",TP,historical_match,Moonlight-16B-A3B-Instruct,Andrea,Kanchan,agree,agree,
Q504387,en,pl,CoC,"['Stany Zjednoczone', 'Australia']","['United States of America', 'Australia']",[Jama],Jama,FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Andrea,Kanchan,agree,agree,
Q214953,pl,pl,CoC,"['Austro-Węgry', 'Polska', 'Zachodnioukraińska Republika Ludowa']","['Austria-Hungary', 'Poland', ""West Ukrainian People's Republic""]",[Nowa Zelandia],New Zealand,FP,no_match,phi-4,Andrea,Kanchan,agree,agree,
Q604530,ar,pl,CoC,['Maroko'],['Morocco'],[Arabia Saudyjska],"[""Saudi Arabia""]",FP,no_match,gemma-2-9b-it,Andrea,Kanchan,agree,agree,
