Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,pob,طماي الزهايرة,زخارا,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس أم كلثوم ؟ 
Q1110560,ar,en,pob,Tamay Ez-Zahayra,Khartoum,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Umm Kulthum?
Q1110560,ar,ru,pob,Та­май-эз-За­хай­ра,Маскат.,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Умм Кульсум?
Q57308,ar,fr,pob,Oujda,Oum El Bouaghi,Instruction Réponds à la question en Français. Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Indiquez le nom de la ville comme réponse.  Question  Quel est le lieu de naissance de Abdelaziz Bouteflika ?
Q57308,ar,zh,pob,乌季达,烏吉爾,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案必須是城市。 Question 阿卜杜勒-阿齐兹·布特弗利卡的出生地是？
Q57308,ar,ru,pob,Уджда,Алжир.,Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте название города в качестве ответа. Question Где родился/родилась Абдель Азиз Бутефлика?
Q57308,ar,en,pob,Oujda,Oujda,Instruction Answer the question in English.  Return only the answer keyword.  Do not include any explanations.  Return the city name as answer. Question  What is the birthplace of Abdelaziz Bouteflika?
Q57308,ar,de,pob,Oujda,Constantine,Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib den Namen der Stadt als Antwort zurück. Question Was ist der Geburtsort von Abd al-Aziz Bouteflika?
Q57308,ar,ar,pob,وجدة,بلدية سيق,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس عبد العزيز بوتفليقة ؟ 
Q127998,ar,ar,pob,صفد,سلفيت,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. أعد اسم المدينة كإجابة.  Question  ما هو مسقط رأس محمود عباس ؟ 
