Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,occ,"['ممثل أفلام', 'مغني', 'ممثل']",مغنية، ممثلة، عارضة أزياء.,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة أم كلثوم ؟
Q1110560,ar,en,occ,"['film actor', 'singer', 'actor']","Singer, actress, and songwriter.","Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Umm Kulthum?"
Q1110560,ar,fr,occ,"['acteur ou actrice de cinéma', 'chanteur ou chanteuse', 'acteur ou actrice']",Chanteuse.,"Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Oum Kalthoum ?"
Q1110560,ar,ru,occ,"['киноактёр', 'певец', 'актёр']",Певица.,"Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Умм Кульсум?"
Q1110560,ar,zh,occ,"['電影演員', '歌手', '演員']",演員,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 烏姆·庫勒蘇姆的職業是？"
Q1110560,ar,de,occ,"['Filmschauspieler', 'Sänger', 'Schauspieler']",Sängerin,"Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Umm Kulthum?"
Q57308,ar,fr,occ,"['diplomate', 'révolutionnaire', ""homme d'État"", 'personnalité politique']","Président, diplomate, homme politique.","Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Abdelaziz Bouteflika ?"
Q57308,ar,zh,occ,"['外交官', '革命家', '政治家', '政治人物']",總統,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·布特弗利卡的職業是？"
Q57308,ar,ru,occ,"['дипломат', 'революционер', 'государственный деятель', 'политик']","Политик, экономист.","Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Абдель Азиз Бутефлика?"
Q57308,ar,en,occ,"['diplomat', 'revolutionary', 'statesperson', 'politician']",Politician,"Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Abdelaziz Bouteflika?"
Q57308,ar,de,occ,"['Diplomat', 'Revolutionär', 'Staatsmann', 'Politiker']",Präsident,"Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Abd al-Aziz Bouteflika?"
Q57308,ar,ar,occ,"['دبلوماسي', 'ثوري', 'رجل دولة', 'سياسي']",رئيس الجزائر.,Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عبد العزيز بوتفليقة ؟
Q127998,ar,ar,occ,"['محاماة', 'سياسي']","رئيس الفلسطينيين, رئيس السلطة الوطنية الفلسطينية.",Instruction أجب عن السؤال باللغة العربية. قم بالإجابة بالكلمة المفتاحية فقط.  الإجابة لابد أن تكون على هذا الشكل: [الإجابة 1، الإجابة 2، ...]. ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة محمود عباس ؟
Q127998,ar,zh,occ,"['法学家', '政治人物']",政治家,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 马哈茂德·阿巴斯的職業是？"
Q127998,ar,ru,occ,"['юрист', 'политик']","Палестинский политик, лидер.","Instruction Отвечайте на вопрос на Русском. Возвращайте только краткий ответ в виде ключевого слова. Ответ должен соответствовать формату: [ответ1, ответ2, …] Не добавляйте никаких объяснений. Question Какова профессия Махмуд Аббас?"
Q127998,ar,en,occ,"['jurist', 'politician']",Politician,"Instruction Answer the question in English.  Return only the answer keyword. Answer must follow this format: [answer1, answer2,...]  Do not include any explanations. Question  What is the occupation of Mahmoud Abbas?"
Q127998,ar,de,occ,"['Jurist', 'Politiker']",Präsident,"Instruction Beantworte die Frage in Deutsch. Gib die Antwort nur in Form eines Schlüsselworts zurück. Die Antwort muss diesem Format entsprechen: [Antwort1, Antwort2, ...] Füge keine Erklärungen hinzu. Question Was ist der Beruf von Mahmud Abbas?"
Q127998,ar,fr,occ,"['juriste', 'personnalité politique']","Président, diplomate, avocat","Instruction Réponds à la question en Français. Ne renvoyez que le mot-clé de la réponse. La réponse doit impérativement respecter le format suivant : [answer1, answer2,...] Aucune explication ne doit être incluse. Question  Quelle est la profession de Mahmoud Abbas ?"
Q151509,ar,zh,occ,"['君主', '政治家']",阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的職業是政治家。,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 返回答案遵循下面的形式: [‘答案1’, ‘答案2’，...]。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·本·阿卜杜勒-拉赫曼·本·费萨尔·阿勒沙特的職業是？"
