A,B,KS_D,p_value
Arabic,Chinese,0.053593028170040365,0.6674575049226625
Arabic,English,0.05268194264303214,0.13866020141141136
Arabic,French,0.04216469784167074,0.48771294704950946
Arabic,German,0.05065148093535932,0.26421302452106066
Arabic,Hindi,0.057332861690838344,0.5723697074188724
Arabic,Italian,0.07749911053633247,0.05441192640796804
Arabic,Polish,0.11735182992161507,0.006093229443204369
Arabic,Russian,0.061014909830355825,0.13929817182685506
Chinese,English,0.05410644102279558,0.42677734970592074
Chinese,French,0.08689736631605703,0.060917523491272704
Chinese,German,0.046764494672169796,0.681417862237474
Chinese,Hindi,0.06368403132448076,0.6091923891608404
Chinese,Italian,0.08026614047389964,0.15689907151615887
Chinese,Polish,0.10854909623839766,0.05240213885668634
Chinese,Russian,0.0779032989956045,0.13838468169525353
English,French,0.06750351149552747,3.205503142658761e-05
English,German,0.015738389562362017,0.9140770642950897
English,Hindi,0.08763187429854097,0.033005008884049176
English,Italian,0.03318532853124048,0.49187423443195344
English,Polish,0.06909286097691895,0.08432695395341872
English,Russian,0.09108744669926104,3.3023844765534145e-07
French,German,0.06431037215433562,0.0034171140968383587
French,Hindi,0.05167362245206557,0.5441070115058737
French,Italian,0.08663949314723239,0.0015376786303638293
French,Polish,0.1365963724724464,4.956942236633448e-05
French,Russian,0.032437235234173,0.5006174155364234
German,Hindi,0.08468102588180057,0.06576592755117536
German,Italian,0.03581035941536325,0.5582352476230277
German,Polish,0.07228600031811079,0.09904209176874347
German,Russian,0.08789430735806919,8.591519321033676e-05
Hindi,Italian,0.09152658662092625,0.06882330288851174
Hindi,Polish,0.14266139657444005,0.003448475011314043
Hindi,Russian,0.07723491698175243,0.13587788723350142
Italian,Polish,0.05684356660566669,0.43010418463529476
Italian,Russian,0.11134280097738421,4.798771539278019e-05
Polish,Russian,0.16018030767618,2.3028387021147863e-06
