Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,occ,"['ممثل أفلام', 'مغني', 'ممثل']",أم كلثوم كانت مغنية وممثلة مصرية.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة أم كلثوم ؟
Q1110560,ar,en,occ,"['film actor', 'singer', 'actor']",Singer and actress,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Umm Kulthum?
Q1110560,ar,fr,occ,"['acteur ou actrice de cinéma', 'chanteur ou chanteuse', 'acteur ou actrice']",Chanteuse et actrice.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Oum Kalthoum ?
Q1110560,ar,it,occ,"['attore cinematografico', 'cantante', 'attore']",Cantante.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Umm Kulthum?
Q1110560,ar,pl,occ,"['aktor filmowy', 'piosenkarz', 'aktor']",Piosenkarka,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Umm Kulthum?
Q1110560,ar,ru,occ,"['киноактёр', 'певец', 'актёр']","Певица, актриса, поэтесса.",Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Умм Кульсум?
Q1110560,ar,zh,occ,"['電影演員', '歌手', '演員']",演員、導演、製片人,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 烏姆·庫勒蘇姆的職業是？"
Q1110560,ar,de,occ,"['Filmschauspieler', 'Sänger', 'Schauspieler']",Sängerin,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Umm Kulthum?
Q57308,ar,it,occ,"['diplomatico', 'rivoluzionario', 'statista', 'politico']",Presidente dell'Algeria.,Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Abdelaziz Bouteflika?
Q57308,ar,zh,occ,"['外交官', '革命家', '政治家', '政治人物']",政治家，阿爾及利亞總統,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·布特弗利卡的職業是？"
Q57308,ar,ru,occ,"['дипломат', 'революционер', 'государственный деятель', 'политик']","Политик, президент Алжира (1999–2019).",Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Абдель Азиз Бутефлика?
Q57308,ar,pl,occ,"['dyplomata', 'rewolucjonista', 'mąż stanu', 'polityk']",Polityk,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Abdelaziz Buteflika?
Q57308,ar,fr,occ,"['diplomate', 'révolutionnaire', ""homme d'État"", 'personnalité politique']","Homme d'État algérien, ancien président de l'Algérie.",Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Abdelaziz Bouteflika ?
Q57308,ar,en,occ,"['diplomat', 'revolutionary', 'statesperson', 'politician']",Former President of Algeria,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Abdelaziz Bouteflika?
Q57308,ar,de,occ,"['Diplomat', 'Revolutionär', 'Staatsmann', 'Politiker']",Politiker,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Abd al-Aziz Bouteflika?
Q57308,ar,ar,occ,"['دبلوماسي', 'ثوري', 'رجل دولة', 'سياسي']",رئيس وزراء الجزائر.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة عبد العزيز بوتفليقة ؟
Q127998,ar,ar,occ,"['محاماة', 'سياسي']",نائب رئيس الوزراء.,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة محمود عباس ؟
Q127998,ar,zh,occ,"['法学家', '政治人物']",政治家，巴勒斯坦权力机构主席。,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 马哈茂德·阿巴斯的職業是？"
Q127998,ar,ru,occ,"['юрист', 'политик']",Политик,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Махмуд Аббас?
Q127998,ar,pl,occ,"['prawnik', 'polityk']",Polityk,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Mahmud Abbas?
Q127998,ar,fr,occ,"['juriste', 'personnalité politique']",Mahmoud Abbas est un homme politique palestinien.,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Mahmoud Abbas ?
