properties,num_properties,coverage,score
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,8969,35876
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,7158,35790
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,7440,29760
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,7380,29520
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,7158,28632
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,7158,28632
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,3637,21822
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,4271,21355
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,2984,20888
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,3285,19710
"has_place_of_birth, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,3882,19410
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",6,3201,19206
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,3090,18540
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,3683,18415
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,3669,18345
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,4581,18324
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,3637,18185
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,3637,18185
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",6,3005,18030
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",6,2993,17958
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,2984,17904
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",6,2984,17904
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,4357,17428
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,4272,17088
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,3417,17085
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,4271,17084
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,3346,16730
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,3329,16645
"has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,3318,16590
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,3285,16425
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,3285,16425
"has_gender, has_country_of_citizenship, has_native_language, has_occupation",4,4072,16288
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death",5,3227,16135
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_birth",5,3210,16050
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",5,3201,16005
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",5,3201,16005
"has_place_of_birth, has_gender, has_occupation, has_date_of_death",4,3922,15688
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,3135,15675
"has_place_of_birth, has_occupation, has_date_of_death, has_date_of_birth",4,3882,15528
"has_place_of_birth, has_gender, has_date_of_death, has_date_of_birth",4,3882,15528
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,3099,15495
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,3090,15450
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,3090,15450
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation",4,3847,15388
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,2560,15360
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",5,3018,15090
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",5,3005,15025
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",5,3005,15025
