properties,num_properties,coverage,score
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,8891,35564
"has_gender, has_country_of_citizenship, has_position_held, has_occupation",4,8254,33016
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,6391,31955
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,5645,28225
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",4,6392,25568
"has_gender, has_position_held, has_occupation, has_date_of_birth",4,6392,25568
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",4,6391,25564
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,5902,23608
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,5667,22668
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,3771,22626
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,5646,22584
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,5645,22580
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,3916,19580
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_birth",5,3772,18860
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,3771,18855
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,3771,18855
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,3405,17025
"has_place_of_birth, has_gender, has_position_held, has_occupation",4,3917,15668
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held",4,3916,15664
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation",4,3916,15664
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,2523,15138
"has_place_of_birth, has_gender, has_position_held, has_date_of_birth",4,3772,15088
"has_place_of_birth, has_position_held, has_occupation, has_date_of_birth",4,3772,15088
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_birth",4,3771,15084
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,3588,14352
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,3430,13720
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,3405,13620
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,3405,13620
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,2225,13350
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,2650,13250
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,2643,13215
"has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,2524,12620
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,2523,12615
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,2523,12615
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,1969,11814
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,2268,11340
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,2230,11150
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,2226,11130
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,2225,11125
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation",4,2768,11072
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,1807,10842
"has_gender, has_position_held, has_occupation, has_date_of_death",4,2651,10604
