properties,num_properties,coverage,score
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",4,26965,107860
"has_gender, has_country_of_citizenship, has_occupation, has_academic_degree",4,16268,65072
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",8,7498,59984
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_academic_degree",7,8389,58723
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",5,10838,54190
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",7,7681,53767
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",4,13395,53580
"has_gender, has_father, has_mother, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",7,7558,52906
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",7,7537,52759
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",7,7503,52521
"has_gender, has_father, has_mother, has_spouse, has_occupation, has_date_of_birth, has_academic_degree",7,7498,52486
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",7,7498,52486
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_date_of_birth, has_academic_degree",7,7498,52486
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation",6,8604,51624
"has_gender, has_father, has_mother, has_country_of_citizenship, has_occupation, has_academic_degree",6,8450,50700
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_occupation, has_academic_degree",6,8430,50580
"has_gender, has_country_of_citizenship, has_position_held, has_occupation",4,12638,50552
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_academic_degree",6,8397,50382
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_academic_degree",6,8389,50334
"has_gender, has_father, has_mother, has_spouse, has_occupation, has_academic_degree",6,8389,50334
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_academic_degree",6,8389,50334
"has_gender, has_father, has_country_of_citizenship, has_occupation, has_date_of_birth",5,9916,49580
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,9727,48635
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",6,8027,48162
"has_gender, has_father, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",6,7975,47850
"has_gender, has_father, has_mother, has_country_of_citizenship, has_occupation, has_date_of_birth",6,7926,47556
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,9460,47300
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",6,7702,46212
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_date_of_birth",6,7681,46086
"has_gender, has_father, has_mother, has_spouse, has_occupation, has_date_of_birth",6,7681,46086
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",6,7681,46086
"has_gender, has_father, has_country_of_citizenship, has_occupation",4,11504,46016
"has_gender, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",6,7587,45522
"has_gender, has_mother, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",6,7569,45414
"has_father, has_mother, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",6,7558,45348
"has_gender, has_father, has_mother, has_country_of_citizenship, has_date_of_birth, has_academic_degree",6,7558,45348
"has_gender, has_father, has_mother, has_occupation, has_date_of_birth, has_academic_degree",6,7558,45348
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_date_of_birth, has_academic_degree",6,7537,45222
"has_gender, has_father, has_spouse, has_occupation, has_date_of_birth, has_academic_degree",6,7537,45222
"has_father, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",6,7537,45222
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_occupation",5,9016,45080
