Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,occ,"['ممثل أفلام', 'مغني', 'ممثل']", Ovum,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. Question  ما هي وظيفة أم كلثوم ؟
Q1110560,ar,en,occ,"['film actor', 'singer', 'actor']", Singer,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations. Question  What is the occupation of Umm Kulthum?
Q1110560,ar,fr,occ,"['acteur ou actrice de cinéma', 'chanteur ou chanteuse', 'acteur ou actrice']", Chanteuse (Singer),Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Question  Quelle est la profession de Oum Kalthoum ?
Q1110560,ar,it,occ,"['attore cinematografico', 'cantante', 'attore']", Cantante (Singer),Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Umm Kulthum?
Q1110560,ar,pl,occ,"['aktor filmowy', 'piosenkarz', 'aktor']", Singer,Instruction Odpowiedz na pytanie w języku polecenia.  Odpowiedz jednym słowem określającym zawód.  Nie dodawaj żadnych wyjaśnień.  Question  Kim z zawodu jest Umm Kulthum?
Q1110560,ar,ru,occ,"['киноактёр', 'певец', 'актёр']", Певица,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Question Какова профессия Умм Кульсум?
Q1110560,ar,zh,occ,"['電影演員', '歌手', '演員']", 屠夫,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 烏姆·庫勒蘇姆的職業是？"
Q1110560,ar,de,occ,"['Filmschauspieler', 'Sänger', 'Schauspieler']", Sängerin,Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Question Was ist der Beruf von Umm Kulthum?
Q57308,ar,it,occ,"['diplomatico', 'rivoluzionario', 'statista', 'politico']", Politico (Presidente dell'Algeria),Istruzione Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Rispondi solamente con l’occupazione dell’entità. Question  Qual è la occupazione (o il lavoro) di Abdelaziz Bouteflika?
Q57308,ar,zh,occ,"['外交官', '革命家', '政治家', '政治人物']", 科學家,"Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 如果你不知道問題的答案,請回答’N/A’。 Question 阿卜杜勒-阿齐兹·布特弗利卡的職業是？"
