qid,sitelinks,lang
Q375474,9,Arabic
Q42331490,9,Arabic
Q324779,9,Arabic
Q281390,9,Arabic
Q4723700,9,Arabic
Q628120,9,Arabic
Q2905903,9,Arabic
Q4884383,9,Arabic
Q705607,9,Arabic
Q12230326,9,Arabic
Q4504865,9,Arabic
Q2058254,9,Arabic
Q918764,9,Arabic
Q3660608,9,Arabic
Q4054450,9,Arabic
Q402962,9,Arabic
Q335448,9,Arabic
Q401372,9,Arabic
Q400824,9,Arabic
Q2784436,9,Arabic
Q2916865,9,Arabic
Q2084346,9,Arabic
Q4165852,9,Arabic
Q3318377,9,Arabic
Q2850118,9,Arabic
Q1463304,9,Arabic
Q510018,9,Arabic
Q2904753,9,Arabic
Q7111346,9,Arabic
Q2916519,9,Arabic
Q4119326,9,Arabic
Q2836397,9,Arabic
Q376221,10,Arabic
Q7333210,14,Arabic
Q343026,12,Arabic
Q3361991,11,Arabic
Q2456929,11,Arabic
Q124710,11,Arabic
Q308021,14,Arabic
Q965535,14,Arabic
Q889126,13,Arabic
Q1871590,10,Arabic
Q712901,12,Arabic
Q1155597,14,Arabic
Q2671172,14,Arabic
Q1887149,11,Arabic
Q923662,11,Arabic
Q887821,14,Arabic
Q1371476,12,Arabic
Q181498,10,Arabic
Q8048062,14,Arabic
Q3112766,10,Arabic
Q5437818,10,Arabic
Q3294664,10,Arabic
Q98074662,10,Arabic
Q289886,12,Arabic
Q446774,12,Arabic
Q2836372,11,Arabic
Q3056474,10,Arabic
Q58145,12,Arabic
Q640881,11,Arabic
Q3079869,12,Arabic
Q969950,14,Arabic
Q11005692,12,Arabic
Q741727,13,Arabic
Q3133541,11,Arabic
Q2603039,11,Arabic
Q1031954,14,Arabic
Q2911515,14,Arabic
Q784796,13,Arabic
Q3293001,13,Arabic
Q983114,13,Arabic
Q403535,13,Arabic
Q3184092,11,Arabic
Q3565005,10,Arabic
Q920526,14,Arabic
Q3474856,12,Arabic
Q4695257,14,Arabic
Q4063330,10,Arabic
Q125829,10,Arabic
Q6235082,10,Arabic
Q205000,10,Arabic
Q2817261,11,Arabic
Q5104483,11,Arabic
Q1686857,11,Arabic
Q2701893,10,Arabic
Q975741,14,Arabic
Q2706504,13,Arabic
Q1572537,12,Arabic
Q3123742,14,Arabic
Q24286956,14,Arabic
Q423124,13,Arabic
Q5941667,10,Arabic
Q12223803,10,Arabic
Q307244,14,Arabic
Q47121035,10,Arabic
Q950137,13,Arabic
Q4165823,10,Arabic
Q1329184,10,Arabic
Q12181838,11,Arabic
Q1770882,11,Arabic
Q359766,13,Arabic
Q50376370,12,Arabic
Q2827647,10,Arabic
Q65279373,13,Arabic
Q3571334,10,Arabic
Q389025,12,Arabic
Q3217855,13,Arabic
Q21994711,11,Arabic
Q401160,13,Arabic
Q4165417,10,Arabic
Q3509909,11,Arabic
Q668603,11,Arabic
Q708296,13,Arabic
Q287311,11,Arabic
Q3325447,13,Arabic
Q308064,12,Arabic
Q12216131,11,Arabic
Q4119544,14,Arabic
Q4116345,12,Arabic
Q1609124,10,Arabic
Q2919596,10,Arabic
Q18684778,11,Arabic
Q4165378,11,Arabic
Q4699129,12,Arabic
Q3380886,10,Arabic
Q2744961,14,Arabic
Q2827672,11,Arabic
Q968637,17,Arabic
Q2066255,16,Arabic
Q1189540,19,Arabic
Q401360,19,Arabic
Q2669418,18,Arabic
Q4937382,16,Arabic
Q641011,15,Arabic
Q1938509,18,Arabic
Q16053060,19,Arabic
Q3533955,16,Arabic
Q173646,15,Arabic
Q560307,19,Arabic
Q1241451,16,Arabic
Q2528405,19,Arabic
Q123413,17,Arabic
Q3506406,17,Arabic
Q3661283,17,Arabic
Q718239,16,Arabic
Q1381809,17,Arabic
Q786839,16,Arabic
Q1208788,19,Arabic
Q169834,17,Arabic
Q381486,15,Arabic
Q1710270,18,Arabic
Q779723,18,Arabic
Q144615,16,Arabic
Q12222098,17,Arabic
Q1394004,17,Arabic
Q2499944,16,Arabic
Q455584,17,Arabic
Q1397035,17,Arabic
Q1058694,19,Arabic
Q303651,15,Arabic
Q968674,19,Arabic
Q4115227,18,Arabic
Q462287,17,Arabic
Q403528,16,Arabic
Q253568,18,Arabic
Q128888,20,Arabic
Q2226193,20,Arabic
Q1335169,20,Arabic
Q6957693,20,Arabic
Q1827410,23,Arabic
Q537224,20,Arabic
Q982936,20,Arabic
Q500374,21,Arabic
Q732062,24,Arabic
Q4899,21,Arabic
Q369971,24,Arabic
Q512535,23,Arabic
Q59434,22,Arabic
Q3046947,22,Arabic
Q420743,20,Arabic
Q555348,20,Arabic
Q541622,20,Arabic
Q2064734,21,Arabic
Q716228,21,Arabic
Q374608,23,Arabic
Q307338,22,Arabic
Q533153,20,Arabic
Q307451,24,Arabic
Q456977,20,Arabic
Q167543,24,Arabic
