Q_number,LoE,LoQ,property,gt,llm_output,prompt
Q1110560,ar,ar,dob,1898-12-30T00:00:00Z, 1970-11-21,Instruction أجب عن السؤال بلغة السؤال. قم بالإجابة بالكلمة المفتاحية فقط.  ولا تقم بإرفاق أي تفسيرات. قم بإرجاع الإجابات بصيغة ”YYYYY-MM-DD“.  Question ما هو تاريخ ميلاد أم كلثوم ؟
Q1110560,ar,en,dob,1898-12-30T00:00:00Z, 1904-11-04,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Umm Kulthum?
Q1110560,ar,fr,dob,1898-12-30T00:00:00Z," 1904-01-01

(Note: Oum Kalthoum's exact birthdate is not known, but it is commonly believed that she was born on January 1, 1904.)",Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Oum Kalthoum?
Q1110560,ar,it,dob,1898-12-30T00:00:00Z, 1904-11-04,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Umm Kulthum?
Q1110560,ar,pl,dob,1898-12-30T00:00:00Z," Odpowiedź: 1898-11-04

Explanation:
Umm Kulthum was born on November 4, 1898. In response to the question, I provided the answer in the format requested, which is a date in the format ""YYYY-MM-DD"".","Instruction  Odpowiedz na pytanie w języku poleceń.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  Kiedy urodził/urodziła się Umm Kulthum?"
Q1110560,ar,ru,dob,1898-12-30T00:00:00Z, 1919-06-04,Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Умм Кульсум?
Q1110560,ar,zh,dob,1898-12-30T00:00:00Z, Ummet Koleovski's birthday is unknown.,Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 烏姆·庫勒蘇姆的生日是？
Q1110560,ar,de,dob,1898-12-30T00:00:00Z," 1904-05-01 (DD-MM-YYYY)
(Note: Umm Kulthum's actual birth date is believed to be May 1, 1904, according to most sources, but some sources suggest it might be May 4, 1904. The exact date is not definitively known.)",Instruction Beantworte die Frage in der Sprache des Prompts. Gib die Antwort nur in Form eines Schlüsselworts zurück. Füge keine Erklärungen hinzu. Gib Antworten im Format ‘YYYY-MM-DD’ zurück. Question Was ist das Geburtsdatum von Umm Kulthum?
Q57308,ar,it,dob,1937-03-02T00:00:00Z, 1937-03-03,Instruction Rispondi alla domanda nella stessa lingua del prompt.  Rispondi soltanto con la risposta della domanda.  Non includere commenti o spiegazioni alla risposta.  Ritorna la risposta nel seguente formato: 'YYYY-MM-DD'.  Domanda Qual è la data di nascita di Abdelaziz Bouteflika?
Q57308,ar,zh,dob,1937-03-02T00:00:00Z, 1486-11-15 (Adalbert von Chamisso's birthday),Instruction 用與問題相同的語言回答給出的問題。 只回答關鍵詞答案。 不要給出任何解釋。 返回答案遵循下面的形式’YYYY-MM-DD’ Question 阿卜杜勒-阿齐兹·布特弗利卡的生日是？
Q57308,ar,ru,dob,1937-03-02T00:00:00Z," ""1937-07-03""",Instruction Отвечайте на вопрос на языке запроса. Возвращайте только краткий ответ в виде ключевого слова. Не добавляйте никаких объяснений. Возвращайте ответы в формате ‘YYYY-MM-DD’. Question Какова дата рождения Абдель Азиз Бутефлика?
Q57308,ar,pl,dob,1937-03-02T00:00:00Z," I cannot provide an answer to that question as I don't have access to the necessary information or context to determine the birthdate of Abdelaziz Buteflika in the format ""YYYY-MM-DD"". However, I can tell you that Abdelaziz Buteflika was born on February 2, 1937.","Instruction  Odpowiedz na pytanie w języku poleceń.  Odpowiedz na pytanie podając wyłącznie datę w formacie „RRRR-MM-DD"".  Question  Kiedy urodził/urodziła się Abdelaziz Buteflika?"
Q57308,ar,fr,dob,1937-03-02T00:00:00Z, 1937-03-03,Instruction Répondez à la question dans la langue de saisie.  Renvoyez uniquement la réponse brute.  N'incluez pas d'explications.  Retournez les réponses au format 'YYYY-MM-DD'.  Question  Quelle est la date de naissance de Abdelaziz Bouteflika?
Q57308,ar,en,dob,1937-03-02T00:00:00Z, 1937-03-03,Instruction Answer the question in the prompt language.  Return only the answer keyword.  Do not include any explanations.  Return answers in 'YYYY-MM-DD' format. Question  What is the birth date of Abdelaziz Bouteflika?
